Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.215 [1.146-1.288],1.627e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,366,1.205 [1.134-1.280],3.595e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,485,1.164 [1.100-1.231],0.029,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.160 [1.096-1.226],0.053,,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA/MUFA,484,1.130 [1.078-1.185],0.094,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-TG,681,0.895 [0.859-0.932],0.019,*,Triglycerides in Small HDL
S-VLDL-TG,687,0.894 [0.859-0.931],0.015,*,Triglycerides in Small VLDL
XL-HDL-TG%,642,0.891 [0.853-0.930],0.036,*,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,621,0.881 [0.844-0.921],0.004,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-C,622,0.881 [0.842-0.922],0.010,*,Cholesterol in Large VLDL
M-VLDL-L,589,0.881 [0.841-0.922],0.018,*,Total-Lipids in Medium VLDL
VLDL-L,623,0.878 [0.839-0.919],0.005,**,Total-Lipids in VLDL
XL-VLDL-C,639,0.877 [0.838-0.917],0.002,**,Cholesterol in Very Large VLDL
XXL-VLDL-C,589,0.876 [0.837-0.916],0.001,**,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,0.875 [0.836-0.917],0.004,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,557,0.875 [0.836-0.916],0.002,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,610,0.874 [0.835-0.914],0.001,**,Free Cholesterol in Very Large VLDL
Total-TG,641,0.873 [0.835-0.912],3.313e-04,***,Total-Triglycerides
M-VLDL-TG,613,0.873 [0.835-0.913],6.189e-04,***,Triglycerides in Medium VLDL
L-VLDL-FC,648,0.872 [0.835-0.912],3.801e-04,***,Free Cholesterol in Large VLDL
L-VLDL-PL,637,0.870 [0.833-0.909],1.198e-04,***,Phospholipids in Large VLDL
VLDL-size,604,0.870 [0.833-0.908],8.080e-05,***,Average Diameter for VLDL Particles
XXL-VLDL-P,529,0.867 [0.827-0.909],9.793e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-L,514,0.867 [0.825-0.911],0.003,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-P,622,0.866 [0.828-0.905],5.169e-05,***,Concentration of Large VLDL Particles
XL-VLDL-PL,607,0.862 [0.824-0.902],3.009e-05,***,Phospholipids in Very Large VLDL
L-VLDL-L,609,0.862 [0.823-0.902],3.337e-05,***,Total-Lipids in Large VLDL
TG/PG,632,0.859 [0.821-0.899],1.510e-05,***,Triglycerides to Phosphoglycerides ratio
VLDL-TG,582,0.859 [0.821-0.899],1.261e-05,***,Triglycerides in VLDL
XL-VLDL-P,599,0.859 [0.821-0.899],9.327e-06,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,578,0.853 [0.814-0.893],2.370e-06,***,Total-Lipids in Very Large VLDL
XXL-VLDL-TG,472,0.850 [0.808-0.895],1.467e-04,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,0.850 [0.810-0.892],8.584e-06,***,Triglycerides in Very Large VLDL
L-VLDL-TG,567,0.839 [0.799-0.881],3.687e-07,***,Triglycerides in Large VLDL
