Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.074 [1.047-1.102],0.009,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-FC%,687,1.069 [1.040-1.098],0.431,,Free Cholesterol to Total-Lipids in Large LDL percentage
DHA%,240,1.056 [1.035-1.078],0.019,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.046 [1.030-1.063],0.004,**,Degree of Unsaturation
Omega-3%,215,1.038 [1.027-1.050],3.411e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,0.965 [0.954-0.976],8.621e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-TG,658,0.935 [0.911-0.959],0.038,*,Triglycerides in Medium LDL
XL-VLDL-CE,617,0.931 [0.907-0.955],0.021,*,Cholesteryl Esters in Very Large VLDL
XL-VLDL-C,639,0.930 [0.905-0.956],0.045,*,Cholesterol in Very Large VLDL
S-VLDL-P,669,0.927 [0.904-0.951],0.002,**,Concentration of Small VLDL Particles
VLDL-CE,621,0.927 [0.902-0.953],0.017,*,Cholesteryl Esters in VLDL
S-VLDL-C,618,0.926 [0.902-0.951],0.002,**,Cholesterol in Small VLDL
L-VLDL-CE,614,0.925 [0.900-0.950],0.004,**,Cholesteryl Esters in Large VLDL
VLDL-PL,674,0.925 [0.900-0.950],0.003,**,Phospholipids in VLDL
S-VLDL-CE,626,0.924 [0.901-0.948],1.936e-04,***,Cholesteryl Esters in Small VLDL
S-VLDL-FC,593,0.924 [0.898-0.950],0.010,**,Free Cholesterol in Small VLDL
VLDL-P,640,0.924 [0.900-0.948],4.699e-04,***,Concentration of VLDL Particles
M-VLDL-P,612,0.924 [0.898-0.950],0.007,**,Concentration of Medium VLDL Particles
MUFA%,525,0.923 [0.899-0.947],2.011e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG,690,0.923 [0.898-0.948],0.002,**,Triglycerides in Small LDL
M-VLDL-PL,632,0.922 [0.897-0.948],0.002,**,Phospholipids in Medium VLDL
S-VLDL-L,665,0.921 [0.898-0.946],2.516e-04,***,Total-Lipids in Small VLDL
M-VLDL-FC,594,0.921 [0.895-0.949],0.008,**,Free Cholesterol in Medium VLDL
M-VLDL-L,589,0.921 [0.895-0.948],0.004,**,Total-Lipids in Medium VLDL
VLDL-FC,630,0.920 [0.895-0.945],5.125e-04,***,Free Cholesterol in VLDL
S-VLDL-PL,664,0.919 [0.894-0.944],2.130e-04,***,Phospholipids in Small VLDL
Total-FA,654,0.918 [0.890-0.947],0.020,*,Total-Fatty Acids
VLDL-C,644,0.916 [0.891-0.941],8.249e-05,***,VLDL Cholesterol
Omega-6,651,0.910 [0.882-0.939],7.321e-04,***,Omega-6 Fatty Acids
MUFA,654,0.893 [0.865-0.923],1.715e-06,***,Monounsaturated Fatty Acids
LA,635,0.889 [0.861-0.917],5.401e-08,***,Linoleic Acid
