Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.107 [1.067-1.150],0.024,*,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6%,366,1.099 [1.060-1.139],0.078,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C%,176,1.097 [1.058-1.137],0.124,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-CE%,485,1.090 [1.052-1.129],0.399,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.087 [1.049-1.125],0.961,,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-FC%,609,0.991 [0.970-1.013],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-FC,474,0.990 [0.966-1.014],1.000,,Free Cholesterol in Large LDL
XS-VLDL-TG%,661,0.970 [0.945-0.995],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
VLDL-P,640,0.964 [0.944-0.985],1.000,,Concentration of VLDL Particles
S-VLDL-TG%,564,0.961 [0.934-0.988],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
