Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.376 [1.255-1.507],2.000e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-CE%,368,1.342 [1.212-1.487],0.004,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
TG/PG,632,1.312 [1.209-1.424],2.040e-05,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-TG,570,1.294 [1.189-1.409],6.171e-04,***,Triglycerides in Very Large VLDL
XL-VLDL-L,578,1.282 [1.181-1.393],9.252e-04,***,Total-Lipids in Very Large VLDL
XXL-VLDL-L,514,1.280 [1.172-1.397],0.009,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,599,1.276 [1.176-1.385],0.001,**,Concentration of Very Large VLDL Particles
XXL-VLDL-C,589,1.275 [1.177-1.381],6.839e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,1.274 [1.172-1.385],0.003,**,Phospholipids in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,637,1.274 [1.186-1.368],8.865e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,681,1.273 [1.184-1.369],1.842e-05,***,Triglycerides in Small HDL
XXL-VLDL-FC,557,1.271 [1.170-1.380],0.003,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,642,1.269 [1.175-1.371],3.559e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-P,529,1.266 [1.162-1.380],0.016,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-PL,607,1.266 [1.167-1.374],0.003,**,Phospholipids in Very Large VLDL
L-VLDL-PL,637,1.263 [1.167-1.367],0.002,**,Phospholipids in Large VLDL
S-HDL-TG%,677,1.260 [1.173-1.354],6.515e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,657,1.259 [1.175-1.349],1.489e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-C,639,1.258 [1.162-1.361],0.003,**,Cholesterol in Very Large VLDL
XXL-VLDL-CE,621,1.257 [1.162-1.361],0.003,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-C,622,1.257 [1.162-1.360],0.003,**,Cholesterol in Large VLDL
L-VLDL-FC,648,1.254 [1.159-1.358],0.005,**,Free Cholesterol in Large VLDL
L-VLDL-L,609,1.252 [1.154-1.359],0.017,*,Total-Lipids in Large VLDL
VLDL-TG,582,1.251 [1.153-1.358],0.019,*,Triglycerides in VLDL
L-VLDL-P,622,1.246 [1.150-1.351],0.019,*,Concentration of Large VLDL Particles
XL-VLDL-FC,610,1.243 [1.147-1.348],0.029,*,Free Cholesterol in Very Large VLDL
XL-VLDL-CE,617,1.239 [1.145-1.341],0.024,*,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,614,1.235 [1.141-1.336],0.038,*,Cholesteryl Esters in Large VLDL
L-HDL-C,671,0.824 [0.770-0.883],0.009,**,Cholesterol in Large HDL
L-HDL-CE,698,0.818 [0.763-0.876],0.003,**,Cholesteryl Esters in Large HDL
HDL-C,621,0.809 [0.749-0.873],0.014,*,HDL Cholesterol
HDL-CE,611,0.800 [0.740-0.864],0.004,**,Cholesteryl Esters in HDL
M-LDL-FC%,651,0.791 [0.732-0.854],6.595e-04,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE%,557,0.780 [0.724-0.841],2.593e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-C%,622,0.769 [0.710-0.832],1.754e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-C%,632,0.754 [0.699-0.813],7.218e-08,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-CE%,562,0.746 [0.685-0.812],3.207e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
