Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-3,420,1.031 [1.006-1.057],1.000,,Omega-3 Fatty Acids
XL-HDL-FC%,547,1.021 [0.989-1.054],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-FC%,578,1.019 [0.980-1.058],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C,618,1.006 [0.971-1.043],1.000,,Cholesterol in Small VLDL
S-LDL-TG%,594,1.003 [0.964-1.043],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-TG,449,0.997 [0.973-1.022],1.000,,Triglycerides in Large HDL
XL-HDL-TG,489,0.989 [0.964-1.015],1.000,,Triglycerides in Very Large HDL
XL-HDL-PL%,441,0.988 [0.957-1.021],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
L-LDL-PL,492,0.984 [0.947-1.023],1.000,,Phospholipids in Large LDL
S-VLDL-C%,527,0.974 [0.934-1.015],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
