Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-L,576,1.097 [1.058-1.138],0.171,,Total-Lipids in Medium HDL
M-HDL-P,598,1.093 [1.054-1.134],0.341,,Concentration of Medium HDL Particles
ApoA1,587,1.092 [1.055-1.132],0.212,,Apolipoprotein A1
HDL-L,598,1.089 [1.053-1.126],0.179,,Total-Lipids in HDL
HDL-PL,590,1.088 [1.052-1.125],0.253,,Phospholipids in HDL
XL-HDL-CE%,259,0.984 [0.939-1.030],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,609,0.978 [0.941-1.016],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,687,0.965 [0.932-0.998],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-C%,527,0.933 [0.896-0.971],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-PL%,382,0.919 [0.887-0.952],0.703,,Phospholipids to Total-Lipids in Large LDL percentage
