Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-size,178,1.317 [0.985-1.760],1.000,,Average Diameter for LDL Particles
S-VLDL-FC%,609,1.284 [1.124-1.468],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-FC%,331,1.138 [0.978-1.325],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
ApoB,565,1.016 [0.894-1.154],1.000,,Apolipoprotein B
L-HDL-PL%,508,1.002 [0.858-1.171],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-P,633,0.997 [0.887-1.121],1.000,,Concentration of Large HDL Particles
M-HDL-PL%,489,0.953 [0.820-1.109],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-C,618,0.953 [0.839-1.082],1.000,,Cholesterol in Small VLDL
L-VLDL-TG%,369,0.942 [0.825-1.075],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XXL-VLDL-TG%,153,0.938 [0.760-1.156],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
