Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-TG%,637,1.026 [1.002-1.050],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,657,1.020 [0.997-1.043],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-PL%,508,1.016 [0.985-1.047],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-TG%,642,1.015 [0.988-1.041],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-P,599,1.001 [0.972-1.030],1.000,,Concentration of Very Large VLDL Particles
Omega-3,420,0.990 [0.973-1.007],1.000,,Omega-3 Fatty Acids
S-LDL-TG,690,0.990 [0.964-1.016],1.000,,Triglycerides in Small LDL
SFA,553,0.984 [0.954-1.014],1.000,,Saturated Fatty Acids
HDL-FC,599,0.969 [0.946-0.993],1.000,,Free Cholesterol in HDL
HDL-C,621,0.965 [0.940-0.990],1.000,,HDL Cholesterol
