Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.396 [1.260-1.547],4.195e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,687,1.364 [1.258-1.480],1.385e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
IDL-FC%,332,1.343 [1.227-1.470],3.613e-05,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,484,1.331 [1.231-1.438],1.595e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-PL%,510,1.330 [1.210-1.463],9.597e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-FC%,460,1.316 [1.211-1.431],2.649e-05,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-FC%,578,1.308 [1.218-1.405],4.386e-08,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-CE%,485,1.291 [1.182-1.410],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.285 [1.175-1.405],0.009,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,651,1.277 [1.184-1.378],5.710e-05,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-PL%,382,1.272 [1.169-1.384],0.005,**,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,644,1.258 [1.170-1.354],1.690e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,1.251 [1.165-1.344],1.846e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,1.240 [1.146-1.341],0.022,*,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,1.235 [1.146-1.330],0.007,**,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,609,1.235 [1.146-1.330],0.007,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
DHA%,240,1.228 [1.149-1.312],3.043e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-C%,558,1.208 [1.126-1.294],0.025,*,Cholesterol to Total-Lipids in IDL percentage
Unsaturation,310,1.181 [1.116-1.251],0.002,**,Degree of Unsaturation
IDL-TG%,635,0.824 [0.771-0.882],0.004,**,Triglycerides to Total-Lipids in IDL percentage
S-HDL-TG%,677,0.823 [0.769-0.881],0.005,**,Triglycerides to Total-Lipids in Small HDL percentage
VLDL-P,640,0.818 [0.760-0.881],0.027,*,Concentration of VLDL Particles
M-LDL-TG,658,0.816 [0.757-0.880],0.034,*,Triglycerides in Medium LDL
S-HDL-TG,681,0.813 [0.755-0.877],0.017,*,Triglycerides in Small HDL
XL-VLDL-CE,617,0.808 [0.747-0.874],0.027,*,Cholesteryl Esters in Very Large VLDL
VLDL-FC,630,0.806 [0.746-0.871],0.014,*,Free Cholesterol in VLDL
VLDL-PL,674,0.803 [0.744-0.868],0.006,**,Phospholipids in VLDL
L-VLDL-CE,614,0.802 [0.741-0.869],0.013,*,Cholesteryl Esters in Large VLDL
S-VLDL-P,669,0.802 [0.744-0.864],0.002,**,Concentration of Small VLDL Particles
S-LDL-TG%,594,0.798 [0.745-0.855],3.927e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-C,639,0.797 [0.736-0.863],0.006,**,Cholesterol in Very Large VLDL
XL-HDL-TG%,642,0.796 [0.738-0.859],0.001,**,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-L,665,0.795 [0.737-0.857],5.146e-04,***,Total-Lipids in Small VLDL
XS-VLDL-TG%,661,0.791 [0.737-0.850],4.105e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
VLDL-L,623,0.790 [0.729-0.856],0.002,**,Total-Lipids in VLDL
VLDL-size,604,0.788 [0.733-0.847],2.058e-05,***,Average Diameter for VLDL Particles
L-VLDL-FC,648,0.782 [0.721-0.848],6.127e-04,***,Free Cholesterol in Large VLDL
M-VLDL-L,589,0.782 [0.721-0.848],6.816e-04,***,Total-Lipids in Medium VLDL
L-VLDL-PL,637,0.771 [0.712-0.835],3.549e-05,***,Phospholipids in Large VLDL
Omega-6,651,0.770 [0.710-0.835],6.930e-05,***,Omega-6 Fatty Acids
TG/PG,632,0.769 [0.711-0.831],8.935e-06,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-PL,607,0.768 [0.709-0.832],2.635e-05,***,Phospholipids in Very Large VLDL
XL-VLDL-FC,610,0.766 [0.706-0.830],1.870e-05,***,Free Cholesterol in Very Large VLDL
XS-VLDL-PL%,375,0.764 [0.694-0.841],0.009,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
Total-FA,654,0.764 [0.707-0.825],2.047e-06,***,Total-Fatty Acids
L-VLDL-L,609,0.764 [0.704-0.829],2.466e-05,***,Total-Lipids in Large VLDL
XL-VLDL-P,599,0.762 [0.703-0.825],6.669e-06,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,578,0.758 [0.700-0.822],4.079e-06,***,Total-Lipids in Very Large VLDL
L-VLDL-P,622,0.758 [0.699-0.822],4.668e-06,***,Concentration of Large VLDL Particles
M-VLDL-TG,613,0.757 [0.697-0.823],1.139e-05,***,Triglycerides in Medium VLDL
XL-VLDL-TG,570,0.754 [0.696-0.817],1.579e-06,***,Triglycerides in Very Large VLDL
L-VLDL-TG,567,0.754 [0.695-0.819],3.678e-06,***,Triglycerides in Large VLDL
VLDL-TG,582,0.753 [0.694-0.818],2.937e-06,***,Triglycerides in VLDL
S-LDL-TG,690,0.753 [0.696-0.813],1.907e-07,***,Triglycerides in Small LDL
Total-TG,641,0.750 [0.693-0.813],4.198e-07,***,Total-Triglycerides
S-VLDL-TG,687,0.748 [0.693-0.808],3.715e-08,***,Triglycerides in Small VLDL
MUFA%,525,0.746 [0.693-0.804],2.964e-09,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-P,529,0.745 [0.687-0.808],3.907e-07,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-LDL-CE%,545,0.744 [0.679-0.816],5.814e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-FC,557,0.744 [0.687-0.805],6.753e-08,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,0.742 [0.686-0.804],4.623e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,472,0.741 [0.682-0.805],4.330e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,621,0.740 [0.684-0.801],2.088e-08,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,514,0.740 [0.681-0.803],2.207e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,589,0.738 [0.682-0.797],4.793e-09,***,Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA,654,0.723 [0.668-0.783],3.587e-10,***,Monounsaturated Fatty Acids
LA,635,0.716 [0.660-0.776],1.527e-10,***,Linoleic Acid
