Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-CE%,562,1.043 [0.981-1.109],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,661,1.018 [0.963-1.075],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-FC%,173,1.016 [0.932-1.107],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C%,622,1.011 [0.954-1.070],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-C%,176,1.002 [0.923-1.088],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA,699,0.864 [0.822-0.908],0.002,**,Polyunsaturated Fatty Acids
Total-FA,654,0.863 [0.819-0.910],0.009,**,Total-Fatty Acids
Omega-6,651,0.854 [0.808-0.904],0.008,**,Omega-6 Fatty Acids
Total-FC,546,0.853 [0.803-0.906],0.069,,Total-Free Cholesterol
Total-C,563,0.847 [0.796-0.901],0.035,*,Total-Cholesterol
