Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.333 [1.221-1.456],3.279e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.295 [1.189-1.411],7.137e-04,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,397,1.231 [1.157-1.309],1.122e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.223 [1.156-1.294],6.836e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.214 [1.148-1.284],2.762e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-C%,395,1.205 [1.146-1.268],1.468e-07,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,492,1.197 [1.139-1.259],5.569e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,509,1.189 [1.137-1.243],1.041e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,542,1.179 [1.132-1.228],3.905e-10,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-PL%,398,1.178 [1.123-1.235],3.511e-06,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,527,1.169 [1.116-1.223],5.322e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-FC%,331,1.164 [1.104-1.227],0.005,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-CE,487,1.151 [1.102-1.201],3.585e-05,***,Cholesteryl Esters in Medium VLDL
IDL-P,505,1.150 [1.104-1.197],2.756e-06,***,Concentration of IDL Particles
M-VLDL-FC%,574,1.147 [1.095-1.202],0.002,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C,535,1.142 [1.095-1.190],1.166e-04,***,Cholesterol in Medium VLDL
M-LDL-P,508,1.140 [1.090-1.192],0.002,**,Concentration of Medium LDL Particles
M-LDL-FC,407,1.140 [1.089-1.194],0.006,**,Free Cholesterol in Medium LDL
M-VLDL-PL%,523,1.137 [1.086-1.190],0.010,*,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-P,566,1.133 [1.087-1.181],8.960e-04,***,Concentration of Small LDL Particles
Clinical LDL-C,463,1.132 [1.084-1.183],0.007,**,Clinical LDL Cholesterol
M-VLDL-C%,604,1.132 [1.081-1.186],0.030,*,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C,525,1.129 [1.080-1.181],0.023,*,Cholesterol in Medium LDL
S-LDL-FC,410,1.127 [1.080-1.176],0.011,*,Free Cholesterol in Small LDL
M-LDL-L,531,1.126 [1.078-1.176],0.025,*,Total-Lipids in Medium LDL
LDL-P,552,1.125 [1.081-1.172],0.002,**,Concentration of LDL Particles
L-LDL-PL,492,1.124 [1.076-1.174],0.035,*,Phospholipids in Large LDL
L-LDL-FC,474,1.124 [1.076-1.175],0.041,*,Free Cholesterol in Large LDL
ApoB,565,1.123 [1.080-1.169],0.002,**,Apolipoprotein B
M-VLDL-FC,594,1.122 [1.078-1.168],0.003,**,Free Cholesterol in Medium VLDL
L-LDL-P,541,1.122 [1.077-1.169],0.007,**,Concentration of Large LDL Particles
S-VLDL-FC,593,1.119 [1.077-1.163],0.003,**,Free Cholesterol in Small VLDL
Remnant-C,577,1.113 [1.069-1.158],0.037,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-CE,621,1.109 [1.067-1.153],0.044,*,Cholesteryl Esters in VLDL
HDL-C,621,0.912 [0.884-0.941],0.001,**,HDL Cholesterol
HDL-CE,611,0.911 [0.883-0.941],0.002,**,Cholesteryl Esters in HDL
HDL-L,598,0.907 [0.880-0.934],3.941e-05,***,Total-Lipids in HDL
HDL-PL,590,0.900 [0.871-0.931],1.216e-04,***,Phospholipids in HDL
M-HDL-FC,597,0.898 [0.870-0.928],1.544e-05,***,Free Cholesterol in Medium HDL
ApoA1,587,0.893 [0.865-0.922],1.633e-06,***,Apolipoprotein A1
M-HDL-C,607,0.881 [0.849-0.914],5.474e-06,***,Cholesterol in Medium HDL
M-HDL-CE,607,0.878 [0.844-0.913],1.500e-05,***,Cholesteryl Esters in Medium HDL
M-HDL-P,598,0.877 [0.846-0.909],2.709e-07,***,Concentration of Medium HDL Particles
M-VLDL-TG%,609,0.877 [0.837-0.918],0.007,**,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-P,531,0.876 [0.846-0.907],1.944e-08,***,Total-Concentration of Lipoprotein Particles
HDL-P,547,0.875 [0.845-0.906],2.926e-08,***,Concentration of HDL Particles
L-VLDL-TG%,369,0.871 [0.831-0.912],0.002,**,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-L,576,0.864 [0.834-0.896],6.641e-10,***,Total-Lipids in Medium HDL
M-HDL-PL,545,0.858 [0.829-0.888],1.374e-12,***,Phospholipids in Medium HDL
S-VLDL-TG%,564,0.857 [0.818-0.898],2.218e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
XXL-VLDL-TG%,153,0.822 [0.768-0.880],0.005,**,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,444,0.794 [0.749-0.843],6.678e-09,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
