Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC,557,1.138 [0.929-1.395],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-FC,407,1.101 [0.888-1.366],1.000,,Free Cholesterol in Medium LDL
XL-HDL-CE%,259,1.069 [0.852-1.341],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-TG,658,1.066 [0.898-1.266],1.000,,Triglycerides in Medium LDL
HDL-size,600,1.008 [0.857-1.185],1.000,,Average Diameter for HDL Particles
IDL-PL,591,0.999 [0.833-1.197],1.000,,Phospholipids in IDL
XXL-VLDL-FC%,173,0.987 [0.718-1.356],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phosphoglyc,609,0.961 [0.797-1.159],1.000,,Phosphoglycerides
L-VLDL-TG%,369,0.952 [0.785-1.154],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-C,653,0.951 [0.803-1.126],1.000,,Cholesterol in Very Large HDL
