Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-CE%,344,1.538 [1.324-1.787],0.004,**,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-C,653,1.320 [1.199-1.453],0.004,**,Cholesterol in Very Large HDL
XL-HDL-CE,664,1.319 [1.198-1.451],0.004,**,Cholesteryl Esters in Very Large HDL
XL-HDL-P,581,1.316 [1.200-1.443],0.001,**,Concentration of Very Large HDL Particles
XL-HDL-L,598,1.303 [1.186-1.433],0.010,**,Total-Lipids in Very Large HDL
M-HDL-FC%,609,1.302 [1.183-1.434],0.019,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-FC,590,1.299 [1.178-1.433],0.042,*,Free Cholesterol in Very Large HDL
L-HDL-FC%,532,1.295 [1.179-1.422],0.017,*,Free Cholesterol to Total-Lipids in Large HDL percentage
DHA,289,1.271 [1.163-1.390],0.031,*,Docosahexaenoic Acid
S-HDL-FC%,491,1.248 [1.151-1.353],0.020,*,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,0.820 [0.761-0.884],0.044,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-C%,261,0.802 [0.674-0.954],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-FC%,547,0.783 [0.710-0.863],0.211,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-PL%,382,0.768 [0.689-0.857],0.541,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-PL%,508,0.696 [0.611-0.793],0.013,*,Phospholipids to Total-Lipids in Large HDL percentage
