Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-FC,483,1.098 [1.053-1.145],1.000,,Free Cholesterol in Small HDL
M-HDL-PL,545,1.067 [1.029-1.106],1.000,,Phospholipids in Medium HDL
S-HDL-C%,436,1.049 [1.012-1.088],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-FC,638,1.046 [1.013-1.080],1.000,,Free Cholesterol in Large HDL
XL-HDL-PL,562,1.041 [1.006-1.078],1.000,,Phospholipids in Very Large HDL
L-LDL-TG,604,0.999 [0.970-1.028],1.000,,Triglycerides in Large LDL
XS-VLDL-TG,678,0.993 [0.964-1.022],1.000,,Triglycerides in Very Small VLDL
M-HDL-TG%,657,0.944 [0.914-0.976],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-PL,674,0.941 [0.907-0.976],1.000,,Phospholipids in VLDL
M-HDL-PL%,489,0.904 [0.867-0.943],0.562,,Phospholipids to Total-Lipids in Medium HDL percentage
