Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.108 [1.071-1.146],6.017e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
TG/PG,632,1.090 [1.058-1.123],0.003,**,Triglycerides to Phosphoglycerides ratio
XL-HDL-FC%,547,1.082 [1.051-1.115],0.034,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,637,1.082 [1.055-1.111],4.901e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,677,1.078 [1.050-1.106],0.003,**,Triglycerides to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,1.071 [1.052-1.091],4.631e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-TG%,657,1.070 [1.044-1.097],0.027,*,Triglycerides to Total-Lipids in Medium HDL percentage
HDL-size,600,0.935 [0.912-0.958],0.022,*,Average Diameter for HDL Particles
XL-HDL-P,581,0.935 [0.912-0.959],0.029,*,Concentration of Very Large HDL Particles
Omega-3%,215,0.933 [0.915-0.950],5.081e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE,664,0.929 [0.905-0.953],0.004,**,Cholesteryl Esters in Very Large HDL
XL-HDL-C,653,0.928 [0.905-0.952],0.003,**,Cholesterol in Very Large HDL
L-HDL-P,633,0.926 [0.903-0.949],3.977e-04,***,Concentration of Large HDL Particles
L-HDL-L,623,0.925 [0.902-0.949],3.585e-04,***,Total-Lipids in Large HDL
L-HDL-FC,638,0.924 [0.901-0.948],3.349e-04,***,Free Cholesterol in Large HDL
L-HDL-PL,598,0.923 [0.900-0.947],1.726e-04,***,Phospholipids in Large HDL
SM,547,0.921 [0.892-0.950],0.042,*,Sphingomyelins
M-HDL-C%,632,0.920 [0.895-0.945],6.302e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-FC%,609,0.920 [0.892-0.948],0.022,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-C,671,0.919 [0.896-0.943],1.832e-05,***,Cholesterol in Large HDL
L-HDL-CE,698,0.918 [0.896-0.942],9.067e-06,***,Cholesteryl Esters in Large HDL
Omega-3,420,0.917 [0.892-0.944],5.697e-04,***,Omega-3 Fatty Acids
XS-VLDL-C%,642,0.916 [0.891-0.943],4.565e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,609,0.916 [0.893-0.940],1.166e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE%,597,0.915 [0.887-0.944],0.007,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-CE%,562,0.914 [0.887-0.942],0.001,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,622,0.913 [0.887-0.939],1.224e-04,***,Cholesterol to Total-Lipids in Large HDL percentage
DHA,289,0.911 [0.885-0.939],1.458e-04,***,Docosahexaenoic Acid
Unsaturation,310,0.911 [0.892-0.931],3.593e-12,***,Degree of Unsaturation
XS-VLDL-CE%,644,0.911 [0.886-0.937],1.746e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
DHA%,240,0.906 [0.883-0.930],1.333e-08,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-FC,599,0.903 [0.874-0.934],4.427e-04,***,Free Cholesterol in HDL
HDL-CE,611,0.902 [0.875-0.930],7.326e-06,***,Cholesteryl Esters in HDL
Phosphoglyc,609,0.898 [0.862-0.935],0.046,*,Phosphoglycerides
HDL-C,621,0.898 [0.870-0.927],9.838e-06,***,HDL Cholesterol
Cholines,620,0.896 [0.860-0.933],0.031,*,Total-Cholines
PUFA/MUFA,484,0.895 [0.867-0.924],1.956e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Total-PL,628,0.892 [0.857-0.929],0.010,**,Total-Phospholipids in Lipoprotein Particles
HDL-PL,590,0.890 [0.856-0.924],5.196e-04,***,Phospholipids in HDL
HDL-L,598,0.888 [0.856-0.921],8.288e-05,***,Total-Lipids in HDL
ApoA1,587,0.886 [0.851-0.923],0.001,**,Apolipoprotein A1
M-HDL-FC,597,0.885 [0.851-0.920],1.611e-04,***,Free Cholesterol in Medium HDL
M-HDL-P,598,0.885 [0.850-0.921],5.054e-04,***,Concentration of Medium HDL Particles
M-HDL-PL,545,0.883 [0.846-0.921],0.002,**,Phospholipids in Medium HDL
M-HDL-CE,607,0.882 [0.850-0.916],1.460e-05,***,Cholesteryl Esters in Medium HDL
M-HDL-C,607,0.882 [0.848-0.916],4.700e-05,***,Cholesterol in Medium HDL
M-HDL-L,576,0.877 [0.841-0.914],1.631e-04,***,Total-Lipids in Medium HDL
Omega-6,651,0.876 [0.841-0.913],6.987e-05,***,Omega-6 Fatty Acids
PUFA,699,0.876 [0.844-0.908],2.318e-07,***,Polyunsaturated Fatty Acids
HDL-P,547,0.864 [0.825-0.906],2.243e-04,***,Concentration of HDL Particles
Total-P,531,0.861 [0.820-0.904],4.143e-04,***,Total-Concentration of Lipoprotein Particles
PUFA%,371,0.860 [0.828-0.893],5.669e-10,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
