Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.185 [1.126-1.247],1.519e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-CE%,557,1.137 [1.089-1.187],0.001,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,632,1.129 [1.082-1.178],0.004,**,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-FC%,578,1.121 [1.073-1.172],0.100,,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,651,1.116 [1.068-1.166],0.250,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-PL,409,0.899 [0.864-0.935],0.035,*,Phospholipids in Small LDL
HDL-TG,593,0.897 [0.863-0.933],0.010,*,Triglycerides in HDL
M-HDL-TG,617,0.897 [0.863-0.932],0.011,*,Triglycerides in Medium HDL
LDL-TG,630,0.893 [0.857-0.932],0.036,*,Triglycerides in LDL
XS-VLDL-C,604,0.893 [0.858-0.929],0.007,**,Cholesterol in Very Small VLDL
XS-VLDL-CE,620,0.892 [0.857-0.929],0.005,**,Cholesteryl Esters in Very Small VLDL
M-HDL-TG%,657,0.892 [0.859-0.927],0.002,**,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,604,0.892 [0.856-0.929],0.012,*,Average Diameter for VLDL Particles
IDL-PL,591,0.890 [0.852-0.929],0.024,*,Phospholipids in IDL
S-HDL-TG%,677,0.889 [0.854-0.925],0.001,**,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-TG,678,0.888 [0.854-0.923],5.853e-04,***,Triglycerides in Very Small VLDL
XL-HDL-TG%,642,0.884 [0.846-0.924],0.012,*,Triglycerides to Total-Lipids in Very Large HDL percentage
ApoB/ApoA1,542,0.884 [0.848-0.921],0.001,**,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-FC,612,0.884 [0.849-0.920],4.141e-04,***,Free Cholesterol in Very Small VLDL
XS-VLDL-P,622,0.882 [0.848-0.918],1.729e-04,***,Concentration of Very Small VLDL Particles
XS-VLDL-PL,635,0.881 [0.847-0.916],8.369e-05,***,Phospholipids in Very Small VLDL
M-LDL-PL,492,0.879 [0.837-0.923],0.046,*,Phospholipids in Medium LDL
XS-VLDL-L,632,0.878 [0.844-0.914],3.124e-05,***,Total-Lipids in Very Small VLDL
S-HDL-TG,681,0.878 [0.842-0.916],3.068e-04,***,Triglycerides in Small HDL
TG/PG,632,0.878 [0.840-0.917],0.002,**,Triglycerides to Phosphoglycerides ratio
M-LDL-TG,658,0.877 [0.840-0.916],6.958e-04,***,Triglycerides in Medium LDL
Total-C,563,0.876 [0.834-0.921],0.038,*,Total-Cholesterol
Total-FC,546,0.876 [0.835-0.920],0.022,*,Total-Free Cholesterol
LDL-CE,506,0.872 [0.829-0.918],0.030,*,Cholesteryl Esters in LDL
Total-PL,628,0.869 [0.829-0.911],0.001,**,Total-Phospholipids in Lipoprotein Particles
IDL-P,505,0.866 [0.825-0.909],9.772e-04,***,Concentration of IDL Particles
Non-HDL-C,563,0.865 [0.823-0.908],0.001,**,Total-Cholesterol Minus HDL-C
M-LDL-L,531,0.863 [0.821-0.907],0.002,**,Total-Lipids in Medium LDL
S-LDL-C,489,0.862 [0.820-0.905],7.619e-04,***,Cholesterol in Small LDL
XXL-VLDL-PL,556,0.858 [0.819-0.900],4.982e-05,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-L,511,0.857 [0.817-0.900],1.069e-04,***,Total-Lipids in Small LDL
XXL-VLDL-TG,472,0.857 [0.814-0.902],0.001,**,Triglycerides in Chylomicrons and Extremely Large VLDL
M-LDL-C,525,0.857 [0.815-0.901],4.555e-04,***,Cholesterol in Medium LDL
