Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-FC%,578,1.093 [1.043-1.145],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,642,1.030 [0.998-1.063],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,259,1.017 [0.984-1.051],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-FC,590,1.003 [0.976-1.032],1.000,,Free Cholesterol in Very Large HDL
LA%,226,1.002 [0.968-1.036],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA,699,0.893 [0.852-0.936],0.448,,Polyunsaturated Fatty Acids
Total-FA,654,0.882 [0.837-0.930],0.866,,Total-Fatty Acids
Omega-6,651,0.879 [0.834-0.926],0.314,,Omega-6 Fatty Acids
LA,635,0.872 [0.827-0.920],0.118,,Linoleic Acid
MUFA,654,0.865 [0.820-0.914],0.039,*,Monounsaturated Fatty Acids
