Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-P,581,1.011 [0.973-1.051],1.000,,Concentration of Very Large HDL Particles
XXL-VLDL-P,529,1.008 [0.959-1.059],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-LDL-FC%,578,1.003 [0.958-1.050],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-P,598,1.001 [0.948-1.057],1.000,,Concentration of Medium HDL Particles
L-VLDL-C,622,1.001 [0.952-1.053],1.000,,Cholesterol in Large VLDL
IDL-L,573,0.992 [0.944-1.043],1.000,,Total-Lipids in IDL
PUFA,699,0.987 [0.940-1.037],1.000,,Polyunsaturated Fatty Acids
LDL-C,476,0.973 [0.879-1.077],1.000,,LDL Cholesterol
S-LDL-CE,543,0.970 [0.881-1.068],1.000,,Cholesteryl Esters in Small LDL
Pyruvate,37,0.833 [0.678-1.024],1.000,,Pyruvate
