Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-CE%,557,1.020 [1.003-1.037],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
HDL-CE,611,1.014 [0.997-1.032],1.000,,Cholesteryl Esters in HDL
Omega-6%,366,1.005 [0.979-1.032],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-PL%,441,1.002 [0.984-1.020],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
HDL-P,547,1.002 [0.980-1.024],1.000,,Concentration of HDL Particles
XS-VLDL-PL%,375,0.984 [0.960-1.009],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
PUFA,699,0.983 [0.965-1.002],1.000,,Polyunsaturated Fatty Acids
Gln,113,0.977 [0.937-1.019],1.000,,Glutamine
L-LDL-CE,502,0.970 [0.948-0.992],1.000,,Cholesteryl Esters in Large LDL
S-LDL-CE,543,0.967 [0.946-0.989],1.000,,Cholesteryl Esters in Small LDL
