Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-FC%,491,1.009 [0.987-1.031],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-CE,664,1.007 [0.980-1.035],1.000,,Cholesteryl Esters in Very Large HDL
L-HDL-C,671,1.005 [0.979-1.032],1.000,,Cholesterol in Large HDL
L-HDL-P,633,1.005 [0.982-1.028],1.000,,Concentration of Large HDL Particles
XXL-VLDL-FC,557,1.003 [0.963-1.044],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-CE,550,0.999 [0.968-1.032],1.000,,Cholesteryl Esters in Medium LDL
XS-VLDL-FC,612,0.984 [0.958-1.011],1.000,,Free Cholesterol in Very Small VLDL
S-VLDL-CE%,509,0.975 [0.939-1.012],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-TG,658,0.973 [0.942-1.005],1.000,,Triglycerides in Medium LDL
XS-VLDL-PL,635,0.973 [0.946-1.000],1.000,,Phospholipids in Very Small VLDL
