Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Total-CE,575,1.078 [0.952-1.221],1.000,,Total-Esterified Cholesterol
XXL-VLDL-PL,556,1.074 [0.953-1.210],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
M-VLDL-TG%,609,1.053 [0.937-1.182],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-P,531,1.051 [0.888-1.244],1.000,,Total-Concentration of Lipoprotein Particles
L-VLDL-FC,648,1.023 [0.903-1.159],1.000,,Free Cholesterol in Large VLDL
XL-HDL-TG,489,0.969 [0.869-1.081],1.000,,Triglycerides in Very Large HDL
XXL-VLDL-C%,176,0.937 [0.789-1.114],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-P,669,0.923 [0.816-1.045],1.000,,Concentration of Small VLDL Particles
S-LDL-CE%,545,0.893 [0.770-1.036],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-CE%,492,0.878 [0.778-0.991],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
