Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-P,622,1.156 [1.061-1.258],1.000,,Concentration of Large VLDL Particles
VLDL-size,604,1.128 [1.039-1.223],1.000,,Average Diameter for VLDL Particles
XXL-VLDL-PL%,261,1.117 [0.996-1.252],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-TG,613,1.060 [0.974-1.155],1.000,,Triglycerides in Medium VLDL
LDL-PL,473,1.026 [0.935-1.126],1.000,,Phospholipids in LDL
IDL-C%,558,0.969 [0.896-1.048],1.000,,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,644,0.952 [0.875-1.036],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-HDL-PL%,441,0.927 [0.857-1.003],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-L,442,0.896 [0.808-0.994],1.000,,Total-Lipids in Small HDL
HDL-PL,590,0.866 [0.797-0.940],1.000,,Phospholipids in HDL
