Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Leu,36,1.206 [0.882-1.649],1.000,,Leucine
XXL-VLDL-TG,472,1.066 [1.002-1.134],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-TG,582,1.054 [0.991-1.120],1.000,,Triglycerides in VLDL
XL-VLDL-P,599,1.033 [0.973-1.097],1.000,,Concentration of Very Large VLDL Particles
XL-HDL-L,598,1.025 [0.980-1.072],1.000,,Total-Lipids in Very Large HDL
S-VLDL-L,665,0.990 [0.935-1.049],1.000,,Total-Lipids in Small VLDL
S-HDL-TG%,677,0.989 [0.942-1.037],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-P,612,0.980 [0.917-1.048],1.000,,Concentration of Medium VLDL Particles
M-HDL-PL%,489,0.980 [0.922-1.042],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
LDL-FC,411,0.954 [0.896-1.014],1.000,,Free Cholesterol in LDL
