Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG%,609,1.028 [1.008-1.048],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-PL%,261,1.023 [0.998-1.049],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-FC,483,1.012 [0.984-1.041],1.000,,Free Cholesterol in Small HDL
MUFA%,525,1.008 [0.990-1.026],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-P,669,1.007 [0.985-1.028],1.000,,Concentration of Small VLDL Particles
L-HDL-L,623,0.998 [0.983-1.012],1.000,,Total-Lipids in Large HDL
Omega-6/Omega-3,257,0.993 [0.982-1.004],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-L,598,0.988 [0.974-1.002],1.000,,Total-Lipids in Very Large HDL
LDL-PL,473,0.960 [0.937-0.984],1.000,,Phospholipids in LDL
LDL-C,476,0.958 [0.935-0.982],1.000,,LDL Cholesterol
