Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,661,1.138 [0.958-1.352],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
HDL-size,600,1.050 [0.910-1.213],1.000,,Average Diameter for HDL Particles
S-HDL-FC%,491,1.038 [0.910-1.183],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-PL%,367,1.030 [0.855-1.241],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-PL%,441,1.007 [0.856-1.185],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
PC,606,0.943 [0.801-1.111],1.000,,Phosphatidylcholines
ApoB/ApoA1,542,0.880 [0.726-1.067],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-L,632,0.861 [0.746-0.994],1.000,,Total-Lipids in Very Small VLDL
Total-CE,575,0.828 [0.680-1.007],1.000,,Total-Esterified Cholesterol
VLDL-P,640,0.769 [0.644-0.917],1.000,,Concentration of VLDL Particles
