Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-FC%,332,1.443 [1.300-1.602],1.222e-06,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA%,371,1.440 [1.291-1.605],1.220e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,460,1.406 [1.274-1.551],2.693e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,484,1.372 [1.264-1.489],9.820e-09,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-FC%,687,1.362 [1.254-1.479],4.598e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-PL%,510,1.349 [1.226-1.485],2.048e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-FC%,578,1.302 [1.207-1.405],2.645e-06,***,Free Cholesterol to Total-Lipids in Small LDL percentage
DHA%,240,1.295 [1.195-1.404],9.068e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,651,1.282 [1.188-1.383],3.416e-05,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-C%,642,1.277 [1.185-1.377],3.622e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,1.266 [1.172-1.369],5.771e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,609,1.262 [1.168-1.364],9.609e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,597,1.262 [1.160-1.373],0.016,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,600,1.255 [1.161-1.356],0.002,**,Phospholipids to Total-Lipids in Small VLDL percentage
Unsaturation,310,1.248 [1.174-1.327],2.464e-07,***,Degree of Unsaturation
L-HDL-C%,622,1.248 [1.153-1.350],0.010,*,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-C%,632,1.225 [1.136-1.320],0.027,*,Cholesterol to Total-Lipids in Medium HDL percentage
DHA,289,1.197 [1.118-1.281],0.049,*,Docosahexaenoic Acid
Omega-3%,215,1.190 [1.131-1.252],4.201e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,0.852 [0.805-0.901],0.006,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-TG%,657,0.830 [0.776-0.889],0.019,*,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-TG%,635,0.827 [0.771-0.888],0.039,*,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,637,0.811 [0.757-0.870],0.001,**,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL%,580,0.810 [0.752-0.872],0.006,**,Phospholipids to Total-Lipids in Large VLDL percentage
S-VLDL-TG,687,0.805 [0.746-0.869],0.006,**,Triglycerides in Small VLDL
S-LDL-TG,690,0.804 [0.744-0.868],0.006,**,Triglycerides in Small LDL
VLDL-size,604,0.803 [0.741-0.869],0.014,*,Average Diameter for VLDL Particles
VLDL-TG,582,0.802 [0.738-0.871],0.045,*,Triglycerides in VLDL
S-LDL-TG%,594,0.801 [0.744-0.863],0.001,**,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,677,0.801 [0.747-0.859],1.288e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-L,578,0.799 [0.734-0.869],0.037,*,Total-Lipids in Very Large VLDL
S-HDL-TG,681,0.790 [0.733-0.852],2.189e-04,***,Triglycerides in Small HDL
XL-VLDL-TG,570,0.782 [0.717-0.852],0.005,**,Triglycerides in Very Large VLDL
XXL-VLDL-FC,557,0.781 [0.719-0.848],0.001,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG%,661,0.779 [0.722-0.840],3.007e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-TG,472,0.777 [0.707-0.854],0.043,*,Triglycerides in Chylomicrons and Extremely Large VLDL
TG/PG,632,0.776 [0.714-0.843],4.697e-04,***,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-P,529,0.776 [0.711-0.846],0.003,**,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,589,0.774 [0.714-0.840],1.746e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-CE,621,0.772 [0.713-0.836],5.076e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,556,0.771 [0.708-0.839],3.858e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,514,0.769 [0.704-0.840],0.002,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-HDL-TG%,642,0.762 [0.704-0.826],8.078e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-LDL-CE%,545,0.759 [0.693-0.830],4.807e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA,635,0.758 [0.697-0.826],4.721e-05,***,Linoleic Acid
MUFA,654,0.743 [0.681-0.810],4.459e-06,***,Monounsaturated Fatty Acids
XS-VLDL-PL%,375,0.729 [0.651-0.815],0.008,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,525,0.727 [0.674-0.786],1.173e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,385,0.663 [0.582-0.756],1.557e-04,***,Glycoprotein Acetyls
