Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Tyr,120,1.467 [1.303-1.652],6.280e-05,***,Tyrosine
XL-HDL-C,653,1.028 [0.996-1.061],1.000,,Cholesterol in Very Large HDL
HDL-size,600,1.020 [0.991-1.050],1.000,,Average Diameter for HDL Particles
HDL-TG,593,1.007 [0.978-1.037],1.000,,Triglycerides in HDL
M-HDL-TG,617,1.002 [0.972-1.034],1.000,,Triglycerides in Medium HDL
Non-HDL-C,563,0.998 [0.958-1.041],1.000,,Total-Cholesterol Minus HDL-C
XS-VLDL-CE%,644,0.989 [0.953-1.027],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-VLDL-TG,567,0.989 [0.946-1.034],1.000,,Triglycerides in Large VLDL
XXL-VLDL-TG,472,0.983 [0.939-1.029],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
Gln,113,0.935 [0.867-1.009],1.000,,Glutamine
