Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-P,416,1.068 [1.031-1.106],1.000,,Concentration of Small HDL Particles
S-VLDL-TG%,564,1.045 [1.011-1.080],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,257,1.037 [1.022-1.051],0.087,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-TG,681,1.034 [1.006-1.062],1.000,,Triglycerides in Small HDL
Total-TG,641,1.026 [0.995-1.058],1.000,,Total-Triglycerides
XL-VLDL-PL%,398,0.982 [0.954-1.011],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
SM,547,0.971 [0.946-0.998],1.000,,Sphingomyelins
Omega-3%,215,0.962 [0.950-0.976],0.007,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA%,371,0.938 [0.901-0.978],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,94,0.911 [0.850-0.977],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
