Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,485,1.170 [1.097-1.248],0.421,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-LDL-FC,410,1.056 [1.004-1.110],1.000,,Free Cholesterol in Small LDL
M-LDL-P,508,1.053 [0.999-1.110],1.000,,Concentration of Medium LDL Particles
Tyr,120,1.044 [0.930-1.172],1.000,,Tyrosine
M-VLDL-CE,487,1.043 [0.989-1.100],1.000,,Cholesteryl Esters in Medium VLDL
L-VLDL-P,622,0.939 [0.891-0.989],1.000,,Concentration of Large VLDL Particles
S-HDL-TG,681,0.930 [0.887-0.974],1.000,,Triglycerides in Small HDL
S-LDL-TG%,594,0.897 [0.857-0.939],0.780,,Triglycerides to Total-Lipids in Small LDL percentage
XXL-VLDL-L,514,0.881 [0.835-0.930],0.917,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,472,0.870 [0.821-0.922],0.690,,Triglycerides in Chylomicrons and Extremely Large VLDL
