Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-FC,483,1.086 [1.052-1.122],0.124,,Free Cholesterol in Small HDL
L-HDL-PL%,508,1.012 [0.978-1.048],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-C,653,1.012 [0.988-1.036],1.000,,Cholesterol in Very Large HDL
HDL-size,600,1.011 [0.988-1.034],1.000,,Average Diameter for HDL Particles
XXL-VLDL-PL%,261,1.005 [0.971-1.041],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-FC,411,0.986 [0.957-1.016],1.000,,Free Cholesterol in LDL
XS-VLDL-FC,612,0.982 [0.960-1.004],1.000,,Free Cholesterol in Very Small VLDL
Omega-6%,366,0.973 [0.939-1.008],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-L,609,0.960 [0.933-0.988],1.000,,Total-Lipids in Large VLDL
Ala,85,0.902 [0.820-0.992],1.000,,Alanine
