Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.060 [0.991-1.133],1.000,,Concentration of HDL Particles
Total-FA,654,1.031 [0.975-1.090],1.000,,Total-Fatty Acids
S-VLDL-FC%,609,1.021 [0.962-1.084],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-FC%,651,1.020 [0.964-1.079],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,398,1.006 [0.941-1.076],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
IDL-L,573,0.971 [0.918-1.028],1.000,,Total-Lipids in IDL
Total-TG,641,0.964 [0.909-1.021],1.000,,Total-Triglycerides
M-VLDL-CE,487,0.959 [0.901-1.022],1.000,,Cholesteryl Esters in Medium VLDL
L-VLDL-FC,648,0.952 [0.899-1.009],1.000,,Free Cholesterol in Large VLDL
S-LDL-PL,409,0.950 [0.897-1.006],1.000,,Phospholipids in Small LDL
