Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-L,598,1.035 [0.986-1.086],1.000,,Total-Lipids in Very Large HDL
HDL-TG,593,1.002 [0.958-1.048],1.000,,Triglycerides in HDL
VLDL-size,604,1.001 [0.949-1.056],1.000,,Average Diameter for VLDL Particles
Total-P,531,1.001 [0.938-1.068],1.000,,Total-Concentration of Lipoprotein Particles
S-VLDL-TG%,564,1.000 [0.933-1.072],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG,489,0.998 [0.955-1.042],1.000,,Triglycerides in Very Large HDL
XXL-VLDL-CE,621,0.977 [0.925-1.032],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
VLDL-PL,674,0.972 [0.920-1.027],1.000,,Phospholipids in VLDL
S-HDL-TG,681,0.962 [0.914-1.013],1.000,,Triglycerides in Small HDL
S-HDL-C,410,0.909 [0.849-0.972],1.000,,Cholesterol in Small HDL
