Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-C%,622,1.275 [1.151-1.413],0.749,,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-L,598,1.231 [1.127-1.343],0.841,,Total-Lipids in Very Large HDL
Phe,17,1.092 [0.442-2.700],1.000,,Phenylalanine
LDL-P,552,1.008 [0.908-1.118],1.000,,Concentration of LDL Particles
LA,635,1.007 [0.909-1.116],1.000,,Linoleic Acid
MUFA,654,0.965 [0.872-1.068],1.000,,Monounsaturated Fatty Acids
HDL-TG,593,0.959 [0.880-1.045],1.000,,Triglycerides in HDL
S-LDL-TG%,594,0.951 [0.863-1.049],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,661,0.929 [0.836-1.032],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,508,0.743 [0.659-0.839],0.371,,Phospholipids to Total-Lipids in Large HDL percentage
