Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.231 [1.070-1.417],1.000,,Concentration of HDL Particles
Total-PL,628,1.125 [0.986-1.283],1.000,,Total-Phospholipids in Lipoprotein Particles
Omega-6/Omega-3,257,1.059 [1.011-1.108],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-P,529,1.005 [0.914-1.104],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XS-VLDL-TG,678,1.004 [0.917-1.099],1.000,,Triglycerides in Very Small VLDL
XS-VLDL-P,622,0.941 [0.861-1.028],1.000,,Concentration of Very Small VLDL Particles
M-VLDL-C%,604,0.876 [0.809-0.948],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,509,0.824 [0.763-0.890],0.229,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
ApoB/ApoA1,542,0.809 [0.749-0.874],0.017,*,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-PL%,398,0.788 [0.717-0.866],0.173,,Phospholipids to Total-Lipids in Very Large VLDL percentage
