Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.503 [0.463 - 0.533],0.494 [0.492 - 0.496],0.500 [0.437 - 0.558],0.494 [0.492 - 0.496],0.001 [0.001 - 0.001],-0.005 [-0.068 - 0.052],0.003 [0.002 - 0.003]
Demographic,0.521 [0.487 - 0.559],0.506 [0.504 - 0.508],0.511 [0.449 - 0.570],0.506 [0.504 - 0.508],0.001 [0.001 - 0.002],0.018 [-0.045 - 0.075],0.003 [0.002 - 0.003]
Metabolite+Demographic,0.519 [0.472 - 0.552],0.514 [0.512 - 0.516],0.517 [0.447 - 0.567],0.514 [0.512 - 0.516],0.001 [0.001 - 0.002],0.031 [-0.038 - 0.083],0.003 [0.002 - 0.003]
