Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.600 [0.582 - 0.617],0.577 [0.575 - 0.580],0.578 [0.549 - 0.606],0.577 [0.575 - 0.580],0.010 [0.009 - 0.011],0.154 [0.126 - 0.184],0.019 [0.018 - 0.021]
Demographic,0.688 [0.676 - 0.702],0.647 [0.645 - 0.649],0.648 [0.628 - 0.675],0.647 [0.645 - 0.649],0.013 [0.012 - 0.014],0.295 [0.274 - 0.322],0.025 [0.024 - 0.027]
Metabolite+Demographic,0.692 [0.679 - 0.706],0.642 [0.640 - 0.644],0.643 [0.614 - 0.667],0.642 [0.640 - 0.644],0.013 [0.012 - 0.014],0.285 [0.255 - 0.309],0.025 [0.023 - 0.027]
