Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.510 [0.475 - 0.553],0.511 [0.509 - 0.513],0.510 [0.447 - 0.591],0.510 [0.509 - 0.513],0.001 [0.001 - 0.001],0.020 [-0.044 - 0.102],0.002 [0.002 - 0.002]
Demographic,0.617 [0.580 - 0.657],0.568 [0.566 - 0.570],0.564 [0.494 - 0.624],0.568 [0.566 - 0.570],0.001 [0.001 - 0.001],0.132 [0.061 - 0.192],0.002 [0.002 - 0.003]
Metabolite+Demographic,0.616 [0.569 - 0.662],0.586 [0.584 - 0.588],0.574 [0.510 - 0.662],0.586 [0.584 - 0.588],0.001 [0.001 - 0.001],0.159 [0.095 - 0.248],0.003 [0.002 - 0.003]
