Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.679 [0.664 - 0.693],0.632 [0.630 - 0.634],0.633 [0.609 - 0.658],0.632 [0.630 - 0.634],0.012 [0.011 - 0.013],0.265 [0.241 - 0.290],0.024 [0.022 - 0.026]
Demographic,0.777 [0.766 - 0.788],0.712 [0.710 - 0.714],0.711 [0.688 - 0.733],0.712 [0.710 - 0.714],0.017 [0.016 - 0.018],0.423 [0.401 - 0.447],0.034 [0.032 - 0.036]
Metabolite+Demographic,0.778 [0.768 - 0.790],0.713 [0.711 - 0.714],0.713 [0.689 - 0.734],0.713 [0.711 - 0.714],0.017 [0.016 - 0.018],0.426 [0.402 - 0.447],0.034 [0.032 - 0.036]
