Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.528 [0.492 - 0.569],0.537 [0.535 - 0.539],0.530 [0.469 - 0.598],0.537 [0.535 - 0.539],0.001 [0.001 - 0.002],0.067 [0.007 - 0.135],0.003 [0.002 - 0.003]
Demographic,0.585 [0.550 - 0.615],0.569 [0.567 - 0.572],0.571 [0.519 - 0.631],0.569 [0.567 - 0.572],0.002 [0.001 - 0.002],0.141 [0.088 - 0.201],0.003 [0.003 - 0.003]
Metabolite+Demographic,0.560 [0.529 - 0.596],0.555 [0.553 - 0.557],0.548 [0.495 - 0.619],0.555 [0.553 - 0.557],0.001 [0.001 - 0.002],0.103 [0.050 - 0.173],0.003 [0.002 - 0.003]
