Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.604 [0.600 - 0.610],0.573 [0.571 - 0.575],0.573 [0.565 - 0.584],0.573 [0.571 - 0.575],0.058 [0.056 - 0.060],0.146 [0.138 - 0.157],0.105 [0.103 - 0.108]
Demographic,0.680 [0.673 - 0.686],0.635 [0.633 - 0.637],0.635 [0.627 - 0.646],0.635 [0.633 - 0.637],0.074 [0.072 - 0.076],0.270 [0.261 - 0.282],0.132 [0.129 - 0.136]
Metabolite+Demographic,0.682 [0.676 - 0.688],0.636 [0.633 - 0.638],0.636 [0.628 - 0.646],0.636 [0.633 - 0.637],0.074 [0.072 - 0.076],0.271 [0.263 - 0.282],0.133 [0.129 - 0.135]
