Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.516 [0.496 - 0.539],0.513 [0.511 - 0.516],0.515 [0.480 - 0.549],0.513 [0.511 - 0.516],0.006 [0.005 - 0.006],0.029 [-0.005 - 0.062],0.011 [0.010 - 0.012]
Demographic,0.613 [0.592 - 0.625],0.606 [0.604 - 0.609],0.606 [0.574 - 0.630],0.606 [0.604 - 0.609],0.008 [0.007 - 0.009],0.211 [0.181 - 0.236],0.016 [0.015 - 0.017]
Metabolite+Demographic,0.615 [0.598 - 0.632],0.593 [0.591 - 0.597],0.592 [0.564 - 0.619],0.593 [0.591 - 0.597],0.008 [0.007 - 0.008],0.185 [0.157 - 0.213],0.015 [0.014 - 0.016]
