Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.685 [0.667 - 0.703],0.635 [0.633 - 0.637],0.636 [0.599 - 0.665],0.635 [0.633 - 0.637],0.006 [0.005 - 0.006],0.271 [0.234 - 0.299],0.011 [0.010 - 0.012]
Demographic,0.808 [0.793 - 0.820],0.726 [0.724 - 0.728],0.726 [0.693 - 0.755],0.726 [0.724 - 0.728],0.009 [0.008 - 0.009],0.451 [0.418 - 0.481],0.017 [0.016 - 0.018]
Metabolite+Demographic,0.802 [0.789 - 0.815],0.724 [0.722 - 0.726],0.724 [0.687 - 0.755],0.724 [0.722 - 0.726],0.008 [0.008 - 0.009],0.448 [0.412 - 0.480],0.017 [0.015 - 0.018]
