Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.449 [0.388 - 0.504],0.465 [0.463 - 0.467],0.466 [0.376 - 0.571],0.465 [0.463 - 0.467],0.000 [0.000 - 0.001],-0.068 [-0.160 - 0.035],0.001 [0.001 - 0.001]
Demographic,0.693 [0.630 - 0.756],0.663 [0.661 - 0.666],0.670 [0.585 - 0.766],0.663 [0.661 - 0.666],0.001 [0.001 - 0.001],0.333 [0.249 - 0.429],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.656 [0.594 - 0.730],0.673 [0.671 - 0.675],0.667 [0.590 - 0.764],0.673 [0.671 - 0.675],0.001 [0.001 - 0.001],0.339 [0.265 - 0.435],0.002 [0.001 - 0.003]
