Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.582 [0.553 - 0.600],0.547 [0.545 - 0.549],0.554 [0.508 - 0.586],0.547 [0.545 - 0.549],0.003 [0.002 - 0.003],0.100 [0.056 - 0.132],0.006 [0.005 - 0.006]
Demographic,0.622 [0.596 - 0.643],0.600 [0.598 - 0.602],0.603 [0.556 - 0.640],0.600 [0.598 - 0.602],0.003 [0.003 - 0.004],0.203 [0.157 - 0.240],0.007 [0.006 - 0.008]
Metabolite+Demographic,0.627 [0.599 - 0.647],0.582 [0.580 - 0.584],0.585 [0.539 - 0.624],0.582 [0.580 - 0.584],0.003 [0.003 - 0.004],0.167 [0.123 - 0.207],0.006 [0.006 - 0.007]
