Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.588 [0.584 - 0.592],0.563 [0.561 - 0.565],0.563 [0.556 - 0.571],0.563 [0.561 - 0.565],0.085 [0.084 - 0.087],0.127 [0.119 - 0.134],0.148 [0.146 - 0.151]
Demographic,0.679 [0.675 - 0.684],0.634 [0.632 - 0.635],0.634 [0.625 - 0.641],0.634 [0.632 - 0.635],0.111 [0.109 - 0.114],0.267 [0.258 - 0.275],0.189 [0.186 - 0.193]
Metabolite+Demographic,0.679 [0.675 - 0.684],0.633 [0.631 - 0.635],0.634 [0.625 - 0.642],0.633 [0.631 - 0.635],0.111 [0.109 - 0.114],0.266 [0.257 - 0.275],0.189 [0.186 - 0.193]
