Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL,1.34 [1.20-1.49],0.022,*,Phospholipids in Very Large HDL
XL-HDL-L,1.32 [1.19-1.48],0.075,,Total-Lipids in Very Large HDL
XL-HDL-FC,1.31 [1.18-1.46],0.066,,Free Cholesterol in Very Large HDL
XL-VLDL-FC%,1.28 [1.17-1.41],0.053,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,1.26 [1.15-1.38],0.118,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-HDL-L,0.81 [0.74-0.88],0.299,,Total-Lipids in Small HDL
S-HDL-C,0.80 [0.74-0.88],0.301,,Cholesterol in Small HDL
VLDL-size,0.80 [0.73-0.88],0.360,,Average Diameter for VLDL Particles
S-HDL-CE,0.80 [0.73-0.87],0.160,,Cholesteryl Esters in Small HDL
S-HDL-P,0.80 [0.73-0.87],0.159,,Concentration of Small HDL Particles
