Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-CE,0.77 [0.72-0.82],2.984e-11,***,Cholesteryl Esters in IDL
L-LDL-P,0.77 [0.72-0.82],2.893e-10,***,Concentration of Large LDL Particles
M-VLDL-FC,0.77 [0.72-0.82],2.385e-10,***,Free Cholesterol in Medium VLDL
S-VLDL-FC,0.76 [0.72-0.82],2.592e-10,***,Free Cholesterol in Small VLDL
Total-C,0.76 [0.72-0.81],2.329e-14,***,Total-Cholesterol
Non-HDL-C,0.76 [0.72-0.81],1.720e-14,***,Total-Cholesterol Minus HDL-C
Total-FC,0.76 [0.72-0.81],3.654e-13,***,Total-Free Cholesterol
S-LDL-L,0.76 [0.72-0.81],3.738e-12,***,Total-Lipids in Small LDL
Total-CE,0.76 [0.72-0.81],2.286e-14,***,Total-Esterified Cholesterol
LDL-P,0.76 [0.71-0.81],2.479e-11,***,Concentration of LDL Particles
M-LDL-P,0.76 [0.71-0.81],1.975e-11,***,Concentration of Medium LDL Particles
Clinical LDL-C,0.76 [0.72-0.80],1.946e-15,***,Clinical LDL Cholesterol
M-VLDL-CE,0.76 [0.71-0.81],1.468e-11,***,Cholesteryl Esters in Medium VLDL
LDL-L,0.76 [0.71-0.80],5.705e-15,***,Total-Lipids in LDL
S-LDL-CE,0.76 [0.71-0.81],1.607e-12,***,Cholesteryl Esters in Small LDL
M-VLDL-C,0.76 [0.71-0.81],5.571e-12,***,Cholesterol in Medium VLDL
L-LDL-L,0.76 [0.71-0.80],1.344e-14,***,Total-Lipids in Large LDL
S-LDL-FC,0.76 [0.71-0.81],1.136e-12,***,Free Cholesterol in Small LDL
M-LDL-L,0.75 [0.71-0.80],3.832e-14,***,Total-Lipids in Medium LDL
LDL-C,0.75 [0.71-0.80],1.441e-15,***,LDL Cholesterol
M-LDL-CE,0.75 [0.71-0.80],1.195e-13,***,Cholesteryl Esters in Medium LDL
LDL-CE,0.75 [0.71-0.80],3.150e-15,***,Cholesteryl Esters in LDL
L-LDL-C,0.75 [0.71-0.80],5.649e-15,***,Cholesterol in Large LDL
S-LDL-C,0.75 [0.71-0.80],1.417e-13,***,Cholesterol in Small LDL
L-LDL-CE,0.75 [0.71-0.80],8.839e-15,***,Cholesteryl Esters in Large LDL
LDL-PL,0.75 [0.71-0.80],1.914e-14,***,Phospholipids in LDL
M-LDL-PL,0.75 [0.70-0.80],1.487e-13,***,Phospholipids in Medium LDL
LDL-FC,0.75 [0.70-0.80],2.001e-14,***,Free Cholesterol in LDL
L-LDL-FC,0.75 [0.70-0.80],8.296e-14,***,Free Cholesterol in Large LDL
M-LDL-C,0.75 [0.70-0.80],9.439e-15,***,Cholesterol in Medium LDL
L-LDL-PL,0.75 [0.70-0.80],1.739e-14,***,Phospholipids in Large LDL
M-LDL-FC,0.74 [0.70-0.79],8.980e-15,***,Free Cholesterol in Medium LDL
