Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-C,0.66 [0.60-0.72],7.466e-13,***,Cholesterol in Medium HDL
L-HDL-CE,0.66 [0.58-0.74],8.031e-06,***,Cholesteryl Esters in Large HDL
M-VLDL-PL%,0.66 [0.61-0.70],1.289e-31,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-VLDL-C,0.65 [0.59-0.71],5.893e-16,***,Cholesterol in Large VLDL
L-HDL-C,0.65 [0.57-0.73],9.859e-07,***,Cholesterol in Large HDL
XL-VLDL-C,0.64 [0.59-0.70],2.487e-16,***,Cholesterol in Very Large VLDL
S-HDL-PL,0.64 [0.59-0.70],9.795e-21,***,Phospholipids in Small HDL
S-VLDL-L,0.64 [0.58-0.69],4.336e-19,***,Total-Lipids in Small VLDL
M-HDL-P,0.64 [0.58-0.70],6.525e-14,***,Concentration of Medium HDL Particles
HDL-PL,0.63 [0.58-0.70],5.478e-16,***,Phospholipids in HDL
SFA,0.63 [0.59-0.68],6.079e-26,***,Saturated Fatty Acids
S-HDL-L,0.63 [0.58-0.68],1.184e-24,***,Total-Lipids in Small HDL
S-LDL-CE%,0.63 [0.58-0.67],4.311e-32,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-PL,0.62 [0.57-0.68],1.874e-22,***,Phospholipids in VLDL
Total-FA,0.62 [0.58-0.67],1.835e-29,***,Total-Fatty Acids
XS-VLDL-C%,0.62 [0.58-0.66],1.713e-43,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.62 [0.58-0.65],1.054e-51,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC%,0.61 [0.57-0.66],1.190e-37,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-CE,0.61 [0.56-0.66],1.303e-26,***,Cholesteryl Esters in Small HDL
XS-VLDL-CE%,0.61 [0.57-0.65],1.027e-46,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL,0.61 [0.56-0.67],6.937e-21,***,Phospholipids in Very Small VLDL
L-HDL-P,0.61 [0.53-0.69],1.217e-07,***,Concentration of Large HDL Particles
XL-HDL-C,0.61 [0.53-0.69],1.977e-09,***,Cholesterol in Very Large HDL
L-HDL-FC,0.61 [0.53-0.69],2.672e-08,***,Free Cholesterol in Large HDL
HDL-L,0.60 [0.55-0.66],2.884e-20,***,Total-Lipids in HDL
L-VLDL-CE,0.60 [0.55-0.66],3.142e-22,***,Cholesteryl Esters in Large VLDL
IDL-C%,0.60 [0.56-0.64],6.369e-58,***,Cholesterol to Total-Lipids in IDL percentage
ApoA1,0.60 [0.55-0.66],2.114e-22,***,Apolipoprotein A1
S-HDL-C,0.60 [0.55-0.65],2.195e-30,***,Cholesterol in Small HDL
M-HDL-FC%,0.60 [0.56-0.64],9.388e-45,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE,0.59 [0.52-0.68],1.174e-09,***,Cholesteryl Esters in Very Large HDL
M-HDL-FC,0.59 [0.53-0.65],7.234e-19,***,Free Cholesterol in Medium HDL
S-LDL-C%,0.59 [0.55-0.63],2.802e-56,***,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL%,0.59 [0.54-0.64],2.070e-36,***,Phospholipids to Total-Lipids in Small VLDL percentage
HDL-CE,0.59 [0.53-0.65],4.108e-19,***,Cholesteryl Esters in HDL
L-LDL-C%,0.59 [0.55-0.62],3.075e-60,***,Cholesterol to Total-Lipids in Large LDL percentage
VLDL-P,0.58 [0.53-0.64],3.009e-25,***,Concentration of VLDL Particles
XL-VLDL-CE,0.58 [0.53-0.64],9.068e-25,***,Cholesteryl Esters in Very Large VLDL
S-HDL-FC,0.58 [0.53-0.63],5.541e-32,***,Free Cholesterol in Small HDL
S-HDL-P,0.58 [0.53-0.63],2.097e-32,***,Concentration of Small HDL Particles
VLDL-FC,0.58 [0.53-0.63],1.598e-29,***,Free Cholesterol in VLDL
XS-VLDL-L,0.57 [0.52-0.62],2.646e-29,***,Total-Lipids in Very Small VLDL
S-VLDL-CE,0.57 [0.52-0.62],1.682e-27,***,Cholesteryl Esters in Small VLDL
HDL-C,0.57 [0.51-0.63],6.176e-22,***,HDL Cholesterol
XL-HDL-P,0.56 [0.49-0.64],3.769e-12,***,Concentration of Very Large HDL Particles
IDL-CE%,0.56 [0.53-0.60],3.156e-71,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-VLDL-L,0.56 [0.51-0.61],1.356e-36,***,Total-Lipids in Medium VLDL
XS-VLDL-P,0.55 [0.50-0.61],2.328e-29,***,Concentration of Very Small VLDL Particles
HDL-P,0.55 [0.50-0.60],7.754e-31,***,Concentration of HDL Particles
S-VLDL-PL,0.55 [0.50-0.60],2.885e-33,***,Phospholipids in Small VLDL
S-VLDL-C,0.54 [0.49-0.59],9.291e-34,***,Cholesterol in Small VLDL
VLDL-C,0.54 [0.50-0.59],9.487e-41,***,VLDL Cholesterol
Phosphoglyc,0.54 [0.50-0.59],4.061e-47,***,Phosphoglycerides
XS-VLDL-FC,0.54 [0.49-0.59],4.694e-32,***,Free Cholesterol in Very Small VLDL
PUFA,0.53 [0.49-0.57],1.665e-51,***,Polyunsaturated Fatty Acids
Total-L,0.52 [0.48-0.56],4.323e-65,***,Total-Lipids in Lipoprotein Particles
PC,0.52 [0.48-0.56],1.265e-52,***,Phosphatidylcholines
Cholines,0.51 [0.47-0.56],4.504e-56,***,Total-Cholines
VLDL-CE,0.51 [0.47-0.56],1.189e-45,***,Cholesteryl Esters in VLDL
S-LDL-PL,0.51 [0.47-0.56],4.718e-46,***,Phospholipids in Small LDL
Omega-6,0.51 [0.47-0.55],2.474e-58,***,Omega-6 Fatty Acids
HDL-FC,0.51 [0.45-0.57],5.252e-27,***,Free Cholesterol in HDL
M-VLDL-P,0.51 [0.46-0.56],8.195e-40,***,Concentration of Medium VLDL Particles
Total-P,0.51 [0.46-0.56],1.180e-42,***,Total-Concentration of Lipoprotein Particles
M-VLDL-PL,0.51 [0.46-0.56],1.704e-43,***,Phospholipids in Medium VLDL
LA,0.51 [0.47-0.55],9.749e-63,***,Linoleic Acid
M-LDL-L,0.50 [0.46-0.54],2.232e-56,***,Total-Lipids in Medium LDL
LDL-L,0.50 [0.46-0.54],1.333e-67,***,Total-Lipids in LDL
S-VLDL-FC,0.50 [0.45-0.55],7.577e-43,***,Free Cholesterol in Small VLDL
Total-PL,0.50 [0.46-0.54],2.707e-64,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-P,0.50 [0.45-0.55],2.091e-44,***,Concentration of Small LDL Particles
S-LDL-L,0.50 [0.45-0.54],5.141e-52,***,Total-Lipids in Small LDL
Clinical LDL-C,0.49 [0.46-0.53],1.558e-74,***,Clinical LDL Cholesterol
M-LDL-CE,0.49 [0.45-0.54],2.495e-54,***,Cholesteryl Esters in Medium LDL
M-LDL-P,0.49 [0.45-0.54],2.516e-45,***,Concentration of Medium LDL Particles
Non-HDL-C,0.49 [0.46-0.53],8.873e-73,***,Total-Cholesterol Minus HDL-C
S-LDL-FC,0.49 [0.45-0.54],1.600e-52,***,Free Cholesterol in Small LDL
ApoB,0.49 [0.45-0.53],2.777e-56,***,Apolipoprotein B
LDL-C,0.49 [0.45-0.53],3.744e-70,***,LDL Cholesterol
LDL-CE,0.49 [0.45-0.53],3.581e-67,***,Cholesteryl Esters in LDL
M-LDL-C,0.49 [0.45-0.53],9.507e-59,***,Cholesterol in Medium LDL
M-LDL-PL,0.48 [0.44-0.53],1.277e-54,***,Phospholipids in Medium LDL
Remnant-C,0.48 [0.45-0.52],7.385e-68,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-C,0.48 [0.44-0.53],7.756e-47,***,Cholesterol in Very Small VLDL
S-LDL-CE,0.48 [0.44-0.53],2.487e-53,***,Cholesteryl Esters in Small LDL
M-VLDL-FC,0.48 [0.44-0.53],1.500e-47,***,Free Cholesterol in Medium VLDL
L-LDL-L,0.48 [0.44-0.52],9.093e-71,***,Total-Lipids in Large LDL
Total-C,0.48 [0.44-0.51],2.282e-81,***,Total-Cholesterol
S-LDL-C,0.48 [0.44-0.52],1.584e-56,***,Cholesterol in Small LDL
Total-CE,0.47 [0.44-0.51],8.995e-82,***,Total-Esterified Cholesterol
SM,0.47 [0.43-0.51],1.662e-59,***,Sphingomyelins
