Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-TG,0.76 [0.73-0.79],1.530e-36,***,Triglycerides in Small LDL
Total-TG,0.76 [0.73-0.79],1.863e-39,***,Total-Triglycerides
XXL-VLDL-CE%,0.76 [0.73-0.79],6.814e-33,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG,0.75 [0.73-0.79],7.148e-38,***,Triglycerides in Medium LDL
IDL-FC%,0.75 [0.73-0.78],4.366e-64,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-L,0.75 [0.72-0.78],6.325e-38,***,Total-Lipids in Medium HDL
M-HDL-C,0.74 [0.71-0.78],4.965e-37,***,Cholesterol in Medium HDL
L-HDL-TG,0.74 [0.70-0.77],2.243e-36,***,Triglycerides in Large HDL
XL-VLDL-P,0.73 [0.70-0.76],2.851e-44,***,Concentration of Very Large VLDL Particles
IDL-TG,0.73 [0.70-0.76],5.411e-45,***,Triglycerides in IDL
XL-VLDL-L,0.73 [0.70-0.76],3.996e-48,***,Total-Lipids in Very Large VLDL
LDL-TG,0.73 [0.70-0.76],3.748e-48,***,Triglycerides in LDL
S-HDL-PL,0.72 [0.69-0.75],5.626e-58,***,Phospholipids in Small HDL
HDL-size,0.72 [0.68-0.76],1.301e-30,***,Average Diameter for HDL Particles
XXL-VLDL-C,0.72 [0.69-0.75],3.243e-52,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-LDL-TG,0.71 [0.68-0.74],7.213e-53,***,Triglycerides in Large LDL
S-HDL-CE,0.71 [0.68-0.73],1.711e-66,***,Cholesteryl Esters in Small HDL
S-HDL-L,0.70 [0.68-0.73],8.472e-71,***,Total-Lipids in Small HDL
M-HDL-P,0.70 [0.67-0.73],2.687e-49,***,Concentration of Medium HDL Particles
L-VLDL-PL,0.70 [0.67-0.72],3.535e-61,***,Phospholipids in Large VLDL
L-VLDL-P,0.69 [0.66-0.72],6.103e-62,***,Concentration of Large VLDL Particles
L-VLDL-L,0.69 [0.66-0.72],1.419e-66,***,Total-Lipids in Large VLDL
M-VLDL-TG,0.69 [0.66-0.72],9.943e-68,***,Triglycerides in Medium VLDL
MUFA,0.69 [0.67-0.72],9.589e-79,***,Monounsaturated Fatty Acids
XL-VLDL-PL,0.69 [0.66-0.71],9.747e-66,***,Phospholipids in Very Large VLDL
L-HDL-PL,0.68 [0.65-0.72],1.569e-39,***,Phospholipids in Large HDL
XL-HDL-TG,0.68 [0.65-0.71],7.417e-65,***,Triglycerides in Very Large HDL
XS-VLDL-FC%,0.68 [0.66-0.70],4.763e-146,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-C,0.68 [0.65-0.70],2.366e-86,***,Cholesterol in Small HDL
XXL-VLDL-CE,0.67 [0.65-0.70],2.228e-70,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
HDL-PL,0.67 [0.64-0.70],6.073e-67,***,Phospholipids in HDL
M-VLDL-CE%,0.66 [0.64-0.68],5.840e-215,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-VLDL-C%,0.65 [0.63-0.68],1.924e-92,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-FC%,0.65 [0.64-0.67],1.502e-221,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-FC,0.65 [0.63-0.68],3.215e-82,***,Free Cholesterol in Large VLDL
XL-VLDL-FC,0.65 [0.62-0.68],2.160e-84,***,Free Cholesterol in Very Large VLDL
S-HDL-P,0.65 [0.62-0.67],5.232e-100,***,Concentration of Small HDL Particles
XL-VLDL-CE%,0.65 [0.62-0.67],3.230e-87,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-FC,0.65 [0.62-0.68],8.018e-72,***,Free Cholesterol in Medium HDL
ApoA1,0.64 [0.61-0.67],2.012e-88,***,Apolipoprotein A1
L-VLDL-CE%,0.64 [0.61-0.66],5.914e-110,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
LA%,0.63 [0.61-0.65],1.225e-149,***,Linoleic Acid to Total-Fatty Acids percentage
