Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"0.279 [0.261,0.297]",1.991e-189,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,"0.239 [0.221,0.258]",4.409e-139,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"0.229 [0.211,0.247]",8.678e-130,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,"0.220 [0.202,0.239]",6.962e-114,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,"0.144 [0.126,0.162]",3.402e-48,***,Degree of Unsaturation
L-HDL-C%,"0.141 [0.123,0.160]",6.750e-44,***,Cholesterol to Total-Lipids in Large HDL percentage
Citrate,"0.141 [0.124,0.159]",3.789e-50,***,Citrate
XL-HDL-FC,"0.135 [0.116,0.153]",2.520e-39,***,Free Cholesterol in Very Large HDL
L-HDL-CE%,"0.134 [0.116,0.153]",2.308e-40,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-VLDL-FC%,"0.123 [0.105,0.141]",1.204e-35,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-C,"0.116 [0.096,0.135]",3.313e-25,***,Cholesterol in Very Large HDL
IDL-FC%,"0.112 [0.094,0.129]",3.209e-31,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-L,"0.111 [0.091,0.131]",1.049e-22,***,Total-Lipids in Very Large HDL
M-LDL-FC%,"0.111 [0.092,0.129]",8.217e-28,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-PL,"0.110 [0.090,0.129]",2.612e-22,***,Phospholipids in Very Large HDL
L-LDL-FC%,"0.109 [0.091,0.127]",2.927e-26,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE,"0.107 [0.087,0.127]",1.370e-20,***,Cholesteryl Esters in Very Large HDL
L-VLDL-CE%,"0.105 [0.087,0.123]",3.572e-24,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-C%,"0.101 [0.083,0.119]",2.523e-22,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,"0.101 [0.082,0.119]",1.053e-21,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,"0.100 [0.082,0.118]",2.907e-21,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-PL%,"0.099 [0.081,0.118]",2.024e-20,***,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-C%,"0.098 [0.079,0.116]",2.828e-20,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-FC%,"0.095 [0.077,0.112]",1.016e-20,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-CE%,"0.095 [0.076,0.113]",1.967e-18,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-HDL-P,"0.094 [0.075,0.114]",8.039e-16,***,Concentration of Very Large HDL Particles
XS-VLDL-FC%,"0.094 [0.077,0.111]",3.744e-21,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
