Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-C,"0.214 [0.213,0.215]",0.000e+00,***,HDL Cholesterol
HDL-CE,"0.213 [0.212,0.214]",0.000e+00,***,Cholesteryl Esters in HDL
HDL-L,"0.209 [0.208,0.210]",0.000e+00,***,Total-Lipids in HDL
ApoA1,"0.206 [0.206,0.207]",0.000e+00,***,Apolipoprotein A1
M-HDL-FC,"0.206 [0.205,0.207]",0.000e+00,***,Free Cholesterol in Medium HDL
M-HDL-C,"0.205 [0.204,0.206]",0.000e+00,***,Cholesterol in Medium HDL
HDL-FC,"0.205 [0.204,0.206]",0.000e+00,***,Free Cholesterol in HDL
M-HDL-P,"0.205 [0.204,0.205]",0.000e+00,***,Concentration of Medium HDL Particles
M-HDL-CE,"0.203 [0.203,0.204]",0.000e+00,***,Cholesteryl Esters in Medium HDL
HDL-PL,"0.202 [0.201,0.203]",0.000e+00,***,Phospholipids in HDL
M-HDL-L,"0.194 [0.194,0.195]",0.000e+00,***,Total-Lipids in Medium HDL
L-HDL-PL,"0.191 [0.190,0.192]",0.000e+00,***,Phospholipids in Large HDL
HDL-P,"0.190 [0.189,0.191]",0.000e+00,***,Concentration of HDL Particles
L-HDL-L,"0.189 [0.188,0.190]",0.000e+00,***,Total-Lipids in Large HDL
L-HDL-P,"0.189 [0.188,0.190]",0.000e+00,***,Concentration of Large HDL Particles
M-HDL-PL,"0.185 [0.184,0.186]",0.000e+00,***,Phospholipids in Medium HDL
L-HDL-CE,"0.181 [0.180,0.182]",0.000e+00,***,Cholesteryl Esters in Large HDL
L-HDL-C,"0.181 [0.180,0.181]",0.000e+00,***,Cholesterol in Large HDL
Total-P,"0.179 [0.178,0.180]",0.000e+00,***,Total-Concentration of Lipoprotein Particles
L-HDL-FC,"0.174 [0.174,0.175]",0.000e+00,***,Free Cholesterol in Large HDL
M-HDL-FC%,"0.171 [0.170,0.172]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-size,"0.150 [0.149,0.151]",0.000e+00,***,Average Diameter for HDL Particles
PC,"0.149 [0.148,0.150]",0.000e+00,***,Phosphatidylcholines
Cholines,"0.140 [0.139,0.140]",0.000e+00,***,Total-Cholines
Phosphoglyc,"0.138 [0.137,0.139]",0.000e+00,***,Phosphoglycerides
S-HDL-FC,"0.129 [0.128,0.129]",0.000e+00,***,Free Cholesterol in Small HDL
S-HDL-PL,"0.128 [0.127,0.129]",0.000e+00,***,Phospholipids in Small HDL
XL-HDL-CE,"0.122 [0.121,0.123]",0.000e+00,***,Cholesteryl Esters in Very Large HDL
S-HDL-L,"0.119 [0.118,0.120]",0.000e+00,***,Total-Lipids in Small HDL
S-HDL-C,"0.118 [0.117,0.119]",0.000e+00,***,Cholesterol in Small HDL
