Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"289.171 [270.690,307.651]",6.068e-197,***,Creatinine
XL-HDL-FC%,"270.725 [252.051,289.399]",4.292e-169,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"201.240 [182.382,220.098]",7.570e-91,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"189.368 [170.768,207.968]",1.845e-82,***,Average Diameter for VLDL Particles
XL-HDL-C%,"188.955 [170.804,207.106]",2.455e-86,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,"164.332 [145.311,183.353]",1.465e-58,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"160.053 [141.258,178.848]",8.402e-57,***,Triglycerides to Total-Lipids in Large HDL percentage
ApoB/ApoA1,"155.679 [137.182,174.175]",2.045e-55,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-TG%,"148.996 [130.247,167.744]",4.680e-49,***,Triglycerides to Total-Lipids in Small HDL percentage
Leu,"140.912 [122.766,159.057]",1.077e-46,***,Leucine
M-HDL-PL%,"140.748 [121.213,160.284]",1.002e-39,***,Phospholipids to Total-Lipids in Medium HDL percentage
Total-BCAA,"134.429 [115.917,152.941]",2.074e-40,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-FC,"133.951 [115.219,152.683]",4.399e-39,***,Free Cholesterol in Large VLDL
L-VLDL-PL,"132.920 [114.127,151.713]",3.677e-38,***,Phospholipids in Large VLDL
XL-VLDL-L,"132.713 [113.811,151.615]",1.487e-37,***,Total-Lipids in Very Large VLDL
XL-VLDL-TG,"131.233 [112.248,150.217]",2.685e-36,***,Triglycerides in Very Large VLDL
L-VLDL-L,"131.222 [112.547,149.897]",1.286e-37,***,Total-Lipids in Large VLDL
XL-VLDL-P,"131.062 [112.125,150.000]",2.165e-36,***,Concentration of Very Large VLDL Particles
Val,"129.479 [110.677,148.281]",5.377e-36,***,Valine
L-VLDL-TG,"128.604 [109.901,147.307]",7.047e-36,***,Triglycerides in Large VLDL
L-VLDL-P,"128.326 [109.555,147.098]",2.009e-35,***,Concentration of Large VLDL Particles
XL-VLDL-PL,"128.277 [109.360,147.194]",8.489e-35,***,Phospholipids in Very Large VLDL
M-VLDL-TG%,"123.658 [104.731,142.585]",4.718e-32,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-TG%,"123.275 [104.639,141.911]",6.035e-33,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-FC,"122.780 [103.904,141.656]",9.718e-32,***,Free Cholesterol in Very Large VLDL
L-VLDL-PL%,"121.351 [103.303,139.399]",3.734e-34,***,Phospholipids to Total-Lipids in Large VLDL percentage
VLDL-TG,"121.216 [102.387,140.044]",5.090e-31,***,Triglycerides in VLDL
XL-VLDL-C,"120.591 [101.842,139.340]",5.894e-31,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE,"118.554 [99.619,137.489]",3.784e-29,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"117.274 [98.242,136.306]",4.032e-28,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-C,"117.113 [98.510,135.717]",1.661e-29,***,Cholesterol in Large VLDL
XXL-VLDL-TG,"114.742 [95.673,133.810]",1.188e-26,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-CE,"113.908 [95.262,132.554]",1.408e-27,***,Cholesteryl Esters in Very Large VLDL
XXL-VLDL-C,"113.370 [94.388,132.353]",3.366e-26,***,Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA%,"113.263 [93.700,132.826]",2.093e-24,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG,"111.273 [92.644,129.903]",3.307e-26,***,Triglycerides in Medium VLDL
