Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,"34.158 [30.556,37.761]",3.810e-71,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,"33.070 [29.492,36.647]",1.702e-67,***,Creatinine
XL-HDL-C%,"24.085 [20.601,27.569]",2.670e-36,***,Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"23.189 [19.565,26.813]",1.323e-30,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"21.647 [18.075,25.219]",4.457e-27,***,Average Diameter for VLDL Particles
ApoB/ApoA1,"19.941 [16.397,23.485]",7.517e-23,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-HDL-TG%,"17.546 [13.942,21.150]",3.525e-16,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,"17.397 [13.748,21.045]",2.268e-15,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,"16.610 [12.869,20.351]",7.868e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,"16.097 [12.504,19.691]",3.988e-13,***,Triglycerides to Total-Lipids in Small HDL percentage
Leu,"15.383 [11.905,18.860]",1.043e-12,***,Leucine
L-VLDL-FC,"14.353 [10.765,17.941]",1.066e-09,***,Free Cholesterol in Large VLDL
L-VLDL-PL,"14.003 [10.404,17.603]",5.768e-09,***,Phospholipids in Large VLDL
Total-BCAA,"14.001 [10.454,17.547]",2.398e-09,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-L,"13.987 [10.411,17.564]",4.236e-09,***,Total-Lipids in Large VLDL
XL-VLDL-L,"13.809 [10.188,17.429]",1.812e-08,***,Total-Lipids in Very Large VLDL
L-VLDL-TG,"13.725 [10.143,17.306]",1.388e-08,***,Triglycerides in Large VLDL
XL-VLDL-P,"13.624 [9.997,17.250]",4.251e-08,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,"13.572 [9.936,17.208]",5.996e-08,***,Triglycerides in Very Large VLDL
L-VLDL-P,"13.571 [9.976,17.165]",3.222e-08,***,Concentration of Large VLDL Particles
XL-VLDL-PL,"13.357 [9.734,16.979]",1.161e-07,***,Phospholipids in Very Large VLDL
Val,"13.255 [9.654,16.855]",1.272e-07,***,Valine
M-VLDL-TG%,"13.150 [9.527,16.774]",2.659e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-TG%,"12.846 [9.278,16.414]",4.001e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
