Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-CE,"1.029 [0.990,1.068]",0.000e+00,***,Cholesteryl Esters in Large HDL
L-HDL-C,"1.006 [0.967,1.046]",0.000e+00,***,Cholesterol in Large HDL
M-HDL-C%,"0.985 [0.950,1.020]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,"0.957 [0.919,0.995]",0.000e+00,***,Cholesteryl Esters in HDL
L-HDL-L,"0.942 [0.903,0.981]",0.000e+00,***,Total-Lipids in Large HDL
HDL-C,"0.915 [0.877,0.953]",0.000e+00,***,HDL Cholesterol
M-HDL-CE%,"0.913 [0.879,0.948]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-P,"0.910 [0.871,0.949]",0.000e+00,***,Concentration of Large HDL Particles
L-HDL-PL,"0.908 [0.869,0.947]",0.000e+00,***,Phospholipids in Large HDL
L-HDL-FC,"0.879 [0.840,0.918]",0.000e+00,***,Free Cholesterol in Large HDL
L-HDL-CE%,"0.862 [0.826,0.898]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
HDL-size,"0.845 [0.806,0.884]",0.000e+00,***,Average Diameter for HDL Particles
L-HDL-C%,"0.843 [0.807,0.880]",0.000e+00,***,Cholesterol to Total-Lipids in Large HDL percentage
M-HDL-CE,"0.807 [0.771,0.844]",0.000e+00,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"0.782 [0.745,0.818]",0.000e+00,***,Cholesterol in Medium HDL
XL-HDL-CE,"0.765 [0.727,0.804]",0.000e+00,***,Cholesteryl Esters in Very Large HDL
M-LDL-FC%,"0.749 [0.714,0.784]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,"0.719 [0.681,0.757]",1.210e-293,***,Free Cholesterol in HDL
XL-HDL-C,"0.701 [0.663,0.740]",2.270e-276,***,Cholesterol in Very Large HDL
HDL-L,"0.698 [0.661,0.736]",9.251e-286,***,Total-Lipids in HDL
XL-VLDL-CE%,"0.696 [0.661,0.731]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,"0.682 [0.647,0.717]",0.000e+00,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-FC,"0.662 [0.625,0.699]",1.224e-266,***,Free Cholesterol in Medium HDL
XL-HDL-PL,"0.659 [0.621,0.698]",4.201e-243,***,Phospholipids in Very Large HDL
M-VLDL-CE%,"0.656 [0.620,0.691]",5.973e-283,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-HDL-FC%,"0.653 [0.615,0.691]",3.170e-242,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-P,"0.652 [0.616,0.689]",3.500e-266,***,Concentration of Medium HDL Particles
XL-HDL-L,"0.652 [0.614,0.690]",4.416e-237,***,Total-Lipids in Very Large HDL
L-LDL-FC%,"0.641 [0.606,0.676]",6.870e-271,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,"0.638 [0.602,0.673]",5.364e-267,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,"0.635 [0.599,0.672]",1.292e-253,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-FC%,"0.635 [0.600,0.670]",2.566e-275,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-PL,"0.624 [0.587,0.661]",5.936e-233,***,Phospholipids in HDL
ApoA1,"0.612 [0.575,0.648]",1.076e-229,***,Apolipoprotein A1
S-LDL-FC%,"0.581 [0.547,0.615]",5.085e-239,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-L,"0.574 [0.538,0.610]",7.464e-209,***,Total-Lipids in Medium HDL
S-VLDL-PL%,"0.569 [0.535,0.604]",2.274e-220,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,"0.564 [0.529,0.599]",8.353e-215,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-CE%,"0.555 [0.519,0.590]",5.258e-201,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-CE%,"0.552 [0.516,0.588]",1.936e-195,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,"0.550 [0.515,0.586]",5.495e-196,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-C%,"0.543 [0.507,0.578]",8.941e-192,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-P,"0.541 [0.503,0.579]",4.502e-165,***,Concentration of Very Large HDL Particles
LDL-size,"0.530 [0.496,0.565]",1.440e-190,***,Average Diameter for LDL Particles
HDL-P,"0.528 [0.493,0.564]",5.866e-181,***,Concentration of HDL Particles
XXL-VLDL-C%,"0.523 [0.489,0.557]",2.284e-191,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-FC%,"0.518 [0.483,0.553]",1.098e-178,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
DHA%,"0.518 [0.483,0.553]",1.082e-178,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-6%,"0.517 [0.482,0.552]",2.237e-176,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,"0.509 [0.475,0.542]",2.821e-187,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-C%,"0.501 [0.467,0.535]",1.178e-179,***,Cholesterol to Total-Lipids in Small HDL percentage
