Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"46.239 [41.946,50.533]",1.398e-92,***,Creatinine
XL-HDL-FC%,"41.515 [37.180,45.850]",1.207e-72,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"29.320 [24.960,33.679]",3.551e-34,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-C%,"28.476 [24.283,32.670]",6.614e-35,***,Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-size,"26.274 [21.975,30.572]",1.313e-27,***,Average Diameter for VLDL Particles
XL-HDL-TG%,"22.184 [17.794,26.573]",1.003e-17,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"21.581 [17.244,25.918]",4.533e-17,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,"21.204 [16.881,25.527]",1.758e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,"21.139 [16.638,25.640]",8.399e-15,***,Phospholipids to Total-Lipids in Medium HDL percentage
ApoB/ApoA1,"20.866 [16.598,25.134]",2.369e-16,***,Apolipoprotein B to Apolipoprotein A1 ratio
Leu,"20.733 [16.550,24.916]",6.539e-17,***,Leucine
M-VLDL-TG%,"19.305 [14.947,23.664]",9.418e-13,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-BCAA,"18.726 [14.459,22.992]",1.889e-12,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,"17.705 [13.373,22.037]",2.738e-10,***,Valine
XL-VLDL-TG,"17.025 [12.650,21.400]",5.678e-09,***,Triglycerides in Very Large VLDL
XS-VLDL-TG%,"16.912 [12.533,21.290]",8.776e-09,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-L,"16.602 [12.245,20.959]",1.911e-08,***,Total-Lipids in Very Large VLDL
M-HDL-TG%,"16.322 [12.029,20.616]",2.178e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-TG,"16.313 [12.003,20.623]",2.802e-08,***,Triglycerides in Large VLDL
XL-VLDL-P,"16.292 [11.927,20.656]",6.017e-08,***,Concentration of Very Large VLDL Particles
L-VLDL-PL,"16.159 [11.827,20.491]",6.250e-08,***,Phospholipids in Large VLDL
L-VLDL-FC,"16.065 [11.746,20.383]",7.238e-08,***,Free Cholesterol in Large VLDL
L-VLDL-L,"15.997 [11.692,20.302]",7.657e-08,***,Total-Lipids in Large VLDL
L-VLDL-PL%,"15.886 [11.727,20.044]",1.658e-08,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-PL,"15.768 [11.409,20.128]",3.165e-07,***,Phospholipids in Very Large VLDL
L-VLDL-P,"15.517 [11.191,19.844]",4.841e-07,***,Concentration of Large VLDL Particles
Gln,"15.301 [11.059,19.543]",3.633e-07,***,Glutamine
XXL-VLDL-TG,"15.139 [10.748,19.530]",3.277e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"15.069 [10.685,19.452]",3.755e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,"14.707 [10.358,19.057]",7.939e-06,***,Free Cholesterol in Very Large VLDL
VLDL-TG,"14.634 [10.296,18.973]",8.832e-06,***,Triglycerides in VLDL
XXL-VLDL-CE,"14.280 [9.918,18.642]",3.244e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XS-VLDL-PL%,"14.194 [9.877,18.511]",2.696e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,"14.160 [10.021,18.299]",4.676e-06,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-PL,"13.869 [9.465,18.273]",1.558e-04,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"13.787 [9.382,18.192]",1.983e-04,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-C,"13.696 [9.376,18.016]",1.199e-04,***,Cholesterol in Very Large VLDL
XXL-VLDL-C,"13.679 [9.307,18.051]",2.004e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA%,"13.322 [8.817,17.827]",0.002,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-C,"13.137 [8.851,17.424]",4.363e-04,***,Cholesterol in Large VLDL
Ile,"12.958 [8.749,17.167]",3.698e-04,***,Isoleucine
S-HDL-CE%,"12.539 [8.281,16.796]",0.002,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-FC,"12.509 [8.118,16.899]",0.005,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-VLDL-TG,"12.411 [8.119,16.702]",0.003,**,Triglycerides in Medium VLDL
XL-VLDL-CE,"12.203 [7.907,16.499]",0.006,**,Cholesteryl Esters in Very Large VLDL
His,"11.162 [7.059,15.265]",0.022,*,Histidine
XL-HDL-TG,"-11.373 [-15.652,-7.094]",0.044,*,Triglycerides in Very Large HDL
S-HDL-CE,"-11.409 [-15.616,-7.202]",0.024,*,Cholesteryl Esters in Small HDL
