Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Cholines,"0.642 [0.532,0.751]",4.727e-25,***,Total-Cholines
PC,"0.639 [0.529,0.749]",1.651e-24,***,Phosphatidylcholines
Phosphoglyc,"0.637 [0.528,0.746]",5.785e-25,***,Phosphoglycerides
Total-PL,"0.634 [0.526,0.742]",2.902e-25,***,Total-Phospholipids in Lipoprotein Particles
SM,"0.630 [0.520,0.739]",4.789e-24,***,Sphingomyelins
Total-P,"0.620 [0.510,0.729]",3.420e-23,***,Total-Concentration of Lipoprotein Particles
S-HDL-FC,"0.594 [0.489,0.700]",3.786e-23,***,Free Cholesterol in Small HDL
HDL-P,"0.585 [0.475,0.695]",4.128e-20,***,Concentration of HDL Particles
ApoA1,"0.579 [0.465,0.692]",3.856e-18,***,Apolipoprotein A1
Total-CE,"0.570 [0.464,0.677]",2.062e-20,***,Total-Esterified Cholesterol
HDL-FC,"0.569 [0.451,0.688]",9.559e-16,***,Free Cholesterol in HDL
M-HDL-FC,"0.563 [0.449,0.677]",8.830e-17,***,Free Cholesterol in Medium HDL
Total-C,"0.561 [0.455,0.667]",8.777e-20,***,Total-Cholesterol
HDL-L,"0.560 [0.443,0.676]",9.981e-16,***,Total-Lipids in HDL
HDL-PL,"0.553 [0.438,0.668]",1.010e-15,***,Phospholipids in HDL
Total-L,"0.553 [0.448,0.657]",7.826e-20,***,Total-Lipids in Lipoprotein Particles
M-HDL-FC%,"0.547 [0.430,0.665]",2.124e-14,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Creatinine,"0.544 [0.422,0.666]",4.694e-13,***,Creatinine
IDL-CE,"0.539 [0.432,0.645]",8.040e-18,***,Cholesteryl Esters in IDL
S-HDL-PL,"0.536 [0.431,0.640]",2.871e-18,***,Phospholipids in Small HDL
IDL-L,"0.532 [0.426,0.638]",2.475e-17,***,Total-Lipids in IDL
M-HDL-L,"0.531 [0.420,0.643]",2.416e-15,***,Total-Lipids in Medium HDL
S-HDL-L,"0.531 [0.427,0.635]",4.310e-18,***,Total-Lipids in Small HDL
M-HDL-P,"0.529 [0.416,0.642]",7.440e-15,***,Concentration of Medium HDL Particles
IDL-C,"0.528 [0.422,0.635]",5.486e-17,***,Cholesterol in IDL
Total-FC,"0.524 [0.419,0.629]",3.740e-17,***,Total-Free Cholesterol
M-HDL-PL,"0.520 [0.409,0.630]",6.968e-15,***,Phospholipids in Medium HDL
HDL-C,"0.503 [0.384,0.621]",1.983e-11,***,HDL Cholesterol
SFA,"0.500 [0.395,0.605]",2.237e-15,***,Saturated Fatty Acids
M-HDL-C,"0.495 [0.382,0.609]",2.251e-12,***,Cholesterol in Medium HDL
S-HDL-P,"0.495 [0.391,0.598]",1.769e-15,***,Concentration of Small HDL Particles
S-HDL-C,"0.488 [0.384,0.592]",6.314e-15,***,Cholesterol in Small HDL
IDL-PL,"0.487 [0.381,0.594]",7.554e-14,***,Phospholipids in IDL
L-LDL-L,"0.484 [0.380,0.587]",1.543e-14,***,Total-Lipids in Large LDL
L-LDL-C,"0.477 [0.373,0.581]",5.117e-14,***,Cholesterol in Large LDL
IDL-FC,"0.475 [0.368,0.581]",5.083e-13,***,Free Cholesterol in IDL
L-LDL-CE,"0.473 [0.370,0.577]",8.368e-14,***,Cholesteryl Esters in Large LDL
M-HDL-CE,"0.473 [0.360,0.585]",5.044e-11,***,Cholesteryl Esters in Medium HDL
HDL-CE,"0.473 [0.355,0.591]",9.619e-10,***,Cholesteryl Esters in HDL
Non-HDL-C,"0.470 [0.366,0.573]",1.304e-13,***,Total-Cholesterol Minus HDL-C
L-LDL-PL,"0.470 [0.366,0.573]",1.537e-13,***,Phospholipids in Large LDL
L-LDL-FC,"0.466 [0.361,0.570]",6.629e-13,***,Free Cholesterol in Large LDL
LDL-L,"0.460 [0.357,0.563]",5.296e-13,***,Total-Lipids in LDL
LDL-C,"0.459 [0.356,0.563]",6.351e-13,***,LDL Cholesterol
LDL-CE,"0.458 [0.354,0.561]",7.773e-13,***,Cholesteryl Esters in LDL
Remnant-C,"0.458 [0.354,0.561]",1.249e-12,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-CE,"0.455 [0.348,0.562]",1.975e-11,***,Cholesteryl Esters in Very Small VLDL
Total-FA,"0.454 [0.349,0.558]",4.811e-12,***,Total-Fatty Acids
Clinical LDL-C,"0.450 [0.347,0.554]",3.357e-12,***,Clinical LDL Cholesterol
XS-VLDL-C,"0.444 [0.338,0.551]",6.951e-11,***,Cholesterol in Very Small VLDL
LDL-FC,"0.440 [0.337,0.544]",2.180e-11,***,Free Cholesterol in LDL
PUFA,"0.438 [0.332,0.543]",1.159e-10,***,Polyunsaturated Fatty Acids
LDL-PL,"0.437 [0.334,0.541]",2.069e-11,***,Phospholipids in LDL
S-HDL-CE,"0.430 [0.326,0.533]",8.408e-11,***,Cholesteryl Esters in Small HDL
M-LDL-C,"0.420 [0.317,0.523]",2.988e-10,***,Cholesterol in Medium LDL
M-LDL-L,"0.418 [0.315,0.521]",3.941e-10,***,Total-Lipids in Medium LDL
SFA%,"0.417 [0.312,0.522]",1.662e-09,***,Saturated Fatty Acids to Total-Fatty Acids percentage
