Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"193.383 [171.218,215.548]",8.837e-60,***,Creatinine
XL-HDL-FC%,"184.339 [161.990,206.687]",4.242e-53,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"136.192 [113.747,158.637]",3.673e-27,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-C%,"130.747 [109.154,152.340]",4.943e-27,***,Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-size,"125.562 [103.435,147.689]",2.647e-23,***,Average Diameter for VLDL Particles
ApoB/ApoA1,"108.161 [86.205,130.118]",1.175e-16,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-HDL-TG%,"104.509 [82.190,126.828]",1.088e-14,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,"101.019 [78.424,123.614]",4.635e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,"93.998 [71.745,116.252]",2.985e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
Leu,"84.221 [62.684,105.758]",4.253e-09,***,Leucine
M-VLDL-TG%,"81.865 [59.431,104.299]",2.005e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Total-BCAA,"80.238 [58.276,102.199]",1.881e-07,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-HDL-PL%,"79.126 [55.949,102.303]",5.158e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-FC,"78.918 [56.697,101.139]",7.909e-07,***,Free Cholesterol in Large VLDL
L-VLDL-L,"78.334 [56.184,100.484]",9.741e-07,***,Total-Lipids in Large VLDL
L-VLDL-PL,"77.787 [55.496,100.079]",1.857e-06,***,Phospholipids in Large VLDL
L-VLDL-TG,"77.438 [55.258,99.617]",1.811e-06,***,Triglycerides in Large VLDL
Val,"77.432 [55.135,99.730]",2.338e-06,***,Valine
XL-VLDL-L,"77.310 [54.890,99.730]",3.254e-06,***,Total-Lipids in Very Large VLDL
XL-VLDL-TG,"76.183 [53.667,98.699]",7.732e-06,***,Triglycerides in Very Large VLDL
L-VLDL-P,"75.343 [53.082,97.604]",7.632e-06,***,Concentration of Large VLDL Particles
XL-VLDL-P,"75.199 [52.738,97.660]",1.236e-05,***,Concentration of Very Large VLDL Particles
M-HDL-TG%,"74.645 [52.550,96.740]",8.275e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-PL,"73.800 [51.367,96.234]",2.639e-05,***,Phospholipids in Very Large VLDL
L-VLDL-PL%,"71.750 [50.349,93.151]",1.162e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-FC,"70.416 [48.036,92.796]",1.614e-04,***,Free Cholesterol in Very Large VLDL
VLDL-TG,"70.036 [47.714,92.357]",1.801e-04,***,Triglycerides in VLDL
XL-VLDL-C,"69.927 [47.700,92.154]",1.621e-04,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE,"68.974 [46.529,91.418]",3.957e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-C,"68.504 [46.452,90.555]",2.636e-04,***,Cholesterol in Large VLDL
XXL-VLDL-L,"67.742 [45.184,90.300]",9.149e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-CE,"66.630 [44.531,88.729]",7.935e-04,***,Cholesteryl Esters in Very Large VLDL
