Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,"0.045 [0.041,0.048]",6.128e-160,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,"0.039 [0.036,0.042]",1.162e-131,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,"0.035 [0.032,0.038]",1.174e-104,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,"0.034 [0.031,0.037]",1.311e-105,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,"0.034 [0.030,0.037]",7.702e-88,***,Phospholipids to Total-Lipids in Medium HDL percentage
SFA%,"0.033 [0.030,0.036]",6.620e-99,***,Saturated Fatty Acids to Total-Fatty Acids percentage
GlycA,"0.033 [0.030,0.036]",1.737e-89,***,Glycoprotein Acetyls
L-HDL-PL%,"0.033 [0.030,0.036]",9.801e-89,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,"0.030 [0.027,0.033]",7.347e-79,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,"0.029 [0.025,0.032]",4.845e-66,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,"0.025 [0.022,0.028]",1.602e-49,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,"0.025 [0.022,0.029]",2.398e-46,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL%,"0.025 [0.022,0.028]",2.976e-53,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,"0.025 [0.022,0.028]",8.093e-47,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,"0.023 [0.020,0.026]",4.691e-39,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,"0.023 [0.020,0.026]",1.563e-41,***,Triglycerides in Small HDL
TG/PG,"0.023 [0.019,0.026]",4.798e-37,***,Triglycerides to Phosphoglycerides ratio
S-VLDL-TG%,"0.022 [0.019,0.025]",3.266e-40,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-HDL-TG%,"0.022 [0.018,0.025]",1.760e-34,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-TG,"0.021 [0.018,0.024]",2.433e-39,***,Triglycerides in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,"0.021 [0.018,0.024]",7.793e-34,***,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL%,"0.021 [0.018,0.025]",5.007e-30,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-L,"0.021 [0.018,0.024]",6.475e-36,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
MUFA,"0.021 [0.018,0.024]",1.449e-36,***,Monounsaturated Fatty Acids
XXL-VLDL-P,"0.021 [0.018,0.024]",2.784e-36,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,"0.021 [0.018,0.024]",8.345e-36,***,Phospholipids in Chylomicrons and Extremely Large VLDL
M-HDL-TG,"0.019 [0.016,0.022]",8.307e-31,***,Triglycerides in Medium HDL
XXL-VLDL-FC,"0.019 [0.016,0.022]",2.304e-30,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
L-LDL-TG,"0.019 [0.016,0.022]",1.718e-29,***,Triglycerides in Large LDL
IDL-TG,"0.019 [0.016,0.022]",1.095e-28,***,Triglycerides in IDL
LDL-TG,"0.019 [0.016,0.021]",7.794e-29,***,Triglycerides in LDL
S-HDL-PL%,"0.018 [0.015,0.021]",2.349e-26,***,Phospholipids to Total-Lipids in Small HDL percentage
XS-VLDL-TG,"0.018 [0.015,0.021]",6.364e-28,***,Triglycerides in Very Small VLDL
XL-VLDL-TG,"0.018 [0.015,0.021]",3.424e-26,***,Triglycerides in Very Large VLDL
HDL-TG,"0.018 [0.015,0.021]",1.026e-26,***,Triglycerides in HDL
M-LDL-TG,"0.018 [0.015,0.021]",3.266e-26,***,Triglycerides in Medium LDL
XXL-VLDL-C,"0.017 [0.014,0.020]",5.548e-24,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-TG,"0.017 [0.014,0.020]",2.628e-24,***,Triglycerides in Small LDL
Total-TG,"0.016 [0.013,0.019]",3.996e-20,***,Total-Triglycerides
XL-HDL-FC%,"0.016 [0.013,0.020]",1.007e-14,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,"0.016 [0.013,0.019]",1.346e-18,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,"0.016 [0.013,0.019]",3.088e-18,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,"0.015 [0.012,0.019]",8.494e-18,***,Total-Lipids in Very Large VLDL
Omega-6/Omega-3,"0.015 [0.012,0.018]",4.552e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-TG,"0.015 [0.012,0.018]",3.840e-16,***,Triglycerides in VLDL
SFA,"0.015 [0.012,0.018]",5.809e-17,***,Saturated Fatty Acids
XL-VLDL-PL,"0.014 [0.011,0.017]",5.187e-15,***,Phospholipids in Very Large VLDL
VLDL-size,"0.014 [0.011,0.018]",6.010e-13,***,Average Diameter for VLDL Particles
Lactate,"0.014 [0.011,0.017]",5.220e-14,***,Lactate
XXL-VLDL-TG%,"0.014 [0.011,0.017]",2.134e-12,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC,"0.012 [0.009,0.015]",3.203e-10,***,Free Cholesterol in Very Large VLDL
L-VLDL-PL,"0.012 [0.009,0.015]",9.612e-10,***,Phospholipids in Large VLDL
S-VLDL-TG,"0.012 [0.009,0.015]",1.724e-09,***,Triglycerides in Small VLDL
L-VLDL-P,"0.011 [0.008,0.014]",3.222e-07,***,Concentration of Large VLDL Particles
Glu-lactate,"0.011 [0.008,0.014]",3.712e-07,***,Glucose-lactate
L-VLDL-TG,"0.011 [0.007,0.014]",2.667e-06,***,Triglycerides in Large VLDL
XL-HDL-TG,"0.010 [0.007,0.013]",2.299e-06,***,Triglycerides in Very Large HDL
Pyruvate,"0.010 [0.007,0.013]",3.087e-05,***,Pyruvate
Acetoacetate,"0.010 [0.007,0.013]",9.020e-06,***,Acetoacetate
L-VLDL-L,"0.010 [0.007,0.013]",1.525e-04,***,Total-Lipids in Large VLDL
L-VLDL-FC,"0.010 [0.007,0.013]",1.559e-04,***,Free Cholesterol in Large VLDL
IDL-PL%,"0.010 [0.007,0.012]",3.140e-05,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-TG,"0.009 [0.006,0.012]",0.011,*,Triglycerides in Large HDL
VLDL-L,"0.008 [0.005,0.011]",0.031,*,Total-Lipids in VLDL
S-HDL-PL,"0.008 [0.005,0.011]",0.024,*,Phospholipids in Small HDL
S-LDL-P,"-0.008 [-0.011,-0.005]",0.018,*,Concentration of Small LDL Particles
S-LDL-CE,"-0.008 [-0.011,-0.005]",0.007,**,Cholesteryl Esters in Small LDL
XS-VLDL-C,"-0.008 [-0.011,-0.005]",0.016,*,Cholesterol in Very Small VLDL
M-LDL-CE,"-0.008 [-0.011,-0.005]",0.005,**,Cholesteryl Esters in Medium LDL
SM,"-0.008 [-0.012,-0.005]",0.030,*,Sphingomyelins
S-LDL-PL,"-0.009 [-0.012,-0.006]",4.314e-04,***,Phospholipids in Small LDL
S-VLDL-FC,"-0.009 [-0.012,-0.006]",5.661e-04,***,Free Cholesterol in Small VLDL
