Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-TG,1.11 [1.09-1.12],2.593e-57,***,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-PL,1.11 [1.09-1.12],5.333e-54,***,Phospholipids in VLDL
SFA,1.10 [1.09-1.12],1.018e-48,***,Saturated Fatty Acids
VLDL-P,1.10 [1.09-1.11],4.219e-51,***,Concentration of VLDL Particles
L-VLDL-CE,1.10 [1.09-1.11],5.736e-49,***,Cholesteryl Esters in Large VLDL
XL-VLDL-CE,1.10 [1.08-1.11],3.520e-44,***,Cholesteryl Esters in Very Large VLDL
XL-HDL-TG,1.10 [1.08-1.11],7.582e-48,***,Triglycerides in Very Large HDL
Glu-lactate,1.09 [1.08-1.10],3.790e-37,***,Glucose-lactate
Creatinine,1.09 [1.07-1.10],4.047e-27,***,Creatinine
Ala,1.09 [1.07-1.10],1.473e-21,***,Alanine
VLDL-FC,1.08 [1.07-1.10],1.528e-33,***,Free Cholesterol in VLDL
S-VLDL-PL,1.08 [1.07-1.10],5.916e-34,***,Phospholipids in Small VLDL
DHA,1.08 [1.07-1.10],4.805e-32,***,Docosahexaenoic Acid
M-VLDL-L,1.08 [1.07-1.09],3.046e-30,***,Total-Lipids in Medium VLDL
S-HDL-L,1.08 [1.07-1.09],8.206e-27,***,Total-Lipids in Small HDL
S-HDL-FC,1.08 [1.07-1.09],5.873e-26,***,Free Cholesterol in Small HDL
S-VLDL-CE,1.07 [1.06-1.09],1.124e-25,***,Cholesteryl Esters in Small VLDL
S-HDL-PL,1.07 [1.06-1.09],5.267e-22,***,Phospholipids in Small HDL
Sc-ala,1.07 [1.06-1.08],3.327e-21,***,Spectrometer-corrected alanine
XS-VLDL-PL,1.07 [1.05-1.08],2.351e-20,***,Phospholipids in Very Small VLDL
Glu,1.07 [1.05-1.08],1.780e-17,***,Glucose
M-VLDL-P,1.06 [1.05-1.08],7.591e-19,***,Concentration of Medium VLDL Particles
L-LDL-CE%,1.06 [1.05-1.08],2.462e-17,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Val,1.06 [1.05-1.08],1.384e-14,***,Valine
S-VLDL-C,1.06 [1.05-1.07],9.646e-16,***,Cholesterol in Small VLDL
Total-BCAA,1.06 [1.04-1.07],4.560e-12,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA,1.06 [1.04-1.07],4.346e-12,***,Polyunsaturated Fatty Acids
S-HDL-P,1.05 [1.04-1.07],1.956e-10,***,Concentration of Small HDL Particles
M-VLDL-PL,1.05 [1.04-1.07],1.798e-11,***,Phospholipids in Medium VLDL
Leu,1.05 [1.03-1.06],1.420e-07,***,Leucine
Ile,1.05 [1.03-1.06],3.051e-07,***,Isoleucine
M-LDL-PL,1.04 [1.03-1.06],1.253e-05,***,Phospholipids in Medium LDL
L-HDL-TG,1.04 [1.03-1.06],4.177e-05,***,Triglycerides in Large HDL
Pyruvate,1.04 [1.03-1.05],2.408e-05,***,Pyruvate
S-VLDL-FC,1.04 [1.03-1.05],1.316e-05,***,Free Cholesterol in Small VLDL
S-HDL-C,1.04 [1.03-1.05],8.315e-04,***,Cholesterol in Small HDL
XS-VLDL-L,1.04 [1.03-1.05],4.640e-04,***,Total-Lipids in Very Small VLDL
M-LDL-CE,1.04 [1.03-1.05],8.991e-04,***,Cholesteryl Esters in Medium LDL
XS-VLDL-P,1.04 [1.03-1.05],6.102e-04,***,Concentration of Very Small VLDL Particles
VLDL-C,1.04 [1.03-1.05],7.142e-04,***,VLDL Cholesterol
Lactate,1.04 [1.02-1.05],0.002,**,Lactate
L-VLDL-TG%,1.04 [1.02-1.05],0.004,**,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-PL,1.04 [1.02-1.05],8.543e-04,***,Phospholipids in Small LDL
S-LDL-CE,1.04 [1.02-1.05],0.003,**,Cholesteryl Esters in Small LDL
S-LDL-L,1.03 [1.02-1.05],0.024,*,Total-Lipids in Small LDL
ApoB/ApoA1,1.03 [1.02-1.05],0.048,*,Apolipoprotein B to Apolipoprotein A1 ratio
L-LDL-PL,0.97 [0.95-0.98],0.031,*,Phospholipids in Large LDL
Non-HDL-C,0.97 [0.95-0.98],0.014,*,Total-Cholesterol Minus HDL-C
HDL-P,0.96 [0.95-0.98],0.006,**,Concentration of HDL Particles
Remnant-C,0.96 [0.95-0.97],2.156e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-FC,0.96 [0.95-0.97],1.327e-04,***,Total-Free Cholesterol
M-HDL-L,0.96 [0.95-0.97],0.002,**,Total-Lipids in Medium HDL
His,0.96 [0.95-0.97],4.192e-05,***,Histidine
XXL-VLDL-FC%,0.96 [0.95-0.97],3.051e-04,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.96 [0.95-0.97],2.856e-05,***,Glutamine
SM,0.96 [0.95-0.97],6.033e-05,***,Sphingomyelins
XS-VLDL-C,0.96 [0.94-0.97],1.168e-06,***,Cholesterol in Very Small VLDL
Citrate,0.95 [0.94-0.96],8.359e-08,***,Citrate
IDL-PL,0.95 [0.94-0.96],5.594e-11,***,Phospholipids in IDL
LDL-FC,0.95 [0.94-0.96],8.971e-12,***,Free Cholesterol in LDL
XL-HDL-CE%,0.94 [0.93-0.96],3.429e-15,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C%,0.94 [0.93-0.96],1.636e-11,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Clinical LDL-C,0.94 [0.93-0.96],9.582e-15,***,Clinical LDL Cholesterol
IDL-P,0.94 [0.93-0.96],1.767e-14,***,Concentration of IDL Particles
XXL-VLDL-CE%,0.94 [0.93-0.96],4.007e-12,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-P,0.94 [0.93-0.95],1.556e-12,***,Concentration of Medium HDL Particles
Total-C,0.94 [0.93-0.95],6.925e-16,***,Total-Cholesterol
XL-VLDL-PL%,0.94 [0.93-0.95],3.534e-16,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
ApoA1,0.94 [0.93-0.95],1.345e-13,***,Apolipoprotein A1
M-HDL-FC,0.94 [0.93-0.95],2.191e-13,***,Free Cholesterol in Medium HDL
Acetate,0.94 [0.93-0.95],3.104e-18,***,Acetate
Total-CE,0.94 [0.93-0.95],4.263e-18,***,Total-Esterified Cholesterol
M-VLDL-CE,0.94 [0.93-0.95],1.672e-19,***,Cholesteryl Esters in Medium VLDL
L-LDL-FC,0.94 [0.92-0.95],3.114e-19,***,Free Cholesterol in Large LDL
HDL-PL,0.94 [0.92-0.95],5.860e-15,***,Phospholipids in HDL
Gly,0.93 [0.92-0.95],1.064e-15,***,Glycine
XS-VLDL-CE,0.93 [0.92-0.94],7.544e-22,***,Cholesteryl Esters in Very Small VLDL
M-HDL-C,0.92 [0.91-0.94],2.370e-25,***,Cholesterol in Medium HDL
IDL-L,0.92 [0.91-0.93],2.853e-31,***,Total-Lipids in IDL
M-HDL-CE,0.92 [0.91-0.93],5.762e-28,***,Cholesteryl Esters in Medium HDL
HDL-L,0.92 [0.90-0.93],3.869e-28,***,Total-Lipids in HDL
IDL-FC,0.91 [0.90-0.92],5.085e-45,***,Free Cholesterol in IDL
S-HDL-CE%,0.90 [0.89-0.91],2.121e-55,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,0.90 [0.89-0.91],2.361e-56,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE,0.90 [0.89-0.91],5.628e-55,***,Cholesteryl Esters in IDL
HDL-FC,0.90 [0.89-0.91],3.553e-40,***,Free Cholesterol in HDL
IDL-C,0.90 [0.89-0.91],6.625e-59,***,Cholesterol in IDL
M-HDL-FC%,0.90 [0.88-0.91],2.632e-51,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-PL%,0.89 [0.88-0.90],9.444e-76,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-FC%,0.89 [0.88-0.90],8.043e-85,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-C%,0.88 [0.87-0.90],2.797e-74,***,Cholesterol to Total-Lipids in Large VLDL percentage
PUFA%,0.87 [0.86-0.88],1.032e-96,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-FC%,0.87 [0.86-0.88],5.920e-125,***,Free Cholesterol to Total-Lipids in Small LDL percentage
HDL-C,0.87 [0.86-0.88],1.283e-74,***,HDL Cholesterol
XS-VLDL-FC%,0.87 [0.86-0.88],2.009e-136,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-CE,0.86 [0.85-0.88],1.044e-83,***,Cholesteryl Esters in HDL
M-HDL-CE%,0.86 [0.85-0.87],4.361e-124,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-VLDL-CE%,0.86 [0.85-0.87],1.210e-131,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-FC%,0.85 [0.84-0.86],4.123e-152,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-C%,0.85 [0.84-0.86],1.863e-136,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.85 [0.84-0.86],2.748e-144,***,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-PL%,0.85 [0.84-0.86],3.768e-143,***,Phospholipids to Total-Lipids in Large LDL percentage
L-VLDL-CE%,0.85 [0.84-0.86],2.039e-133,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-PL,0.85 [0.83-0.86],2.196e-94,***,Phospholipids in Large HDL
L-HDL-CE%,0.84 [0.83-0.85],1.104e-191,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-LDL-C%,0.84 [0.83-0.85],1.623e-168,***,Cholesterol to Total-Lipids in Small LDL percentage
Omega-6/Omega-3,0.84 [0.83-0.85],2.703e-150,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-VLDL-FC%,0.84 [0.83-0.85],3.588e-134,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,0.84 [0.83-0.85],4.373e-182,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.84 [0.83-0.85],5.027e-148,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-P,0.84 [0.82-0.85],3.652e-106,***,Concentration of Very Large HDL Particles
L-HDL-C%,0.84 [0.83-0.84],3.651e-208,***,Cholesterol to Total-Lipids in Large HDL percentage
Omega-6%,0.83 [0.82-0.84],4.949e-188,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.83 [0.82-0.84],1.098e-152,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-C%,0.83 [0.82-0.84],1.494e-199,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,0.83 [0.82-0.84],5.293e-209,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.83 [0.82-0.84],4.996e-156,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-L,0.83 [0.82-0.84],5.263e-122,***,Total-Lipids in Large HDL
XL-HDL-FC,0.83 [0.81-0.84],1.385e-139,***,Free Cholesterol in Very Large HDL
M-LDL-C%,0.82 [0.81-0.83],3.888e-247,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.82 [0.81-0.83],1.130e-227,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.82 [0.81-0.83],1.523e-291,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-FC,0.82 [0.81-0.83],1.817e-127,***,Free Cholesterol in Large HDL
HDL-size,0.82 [0.81-0.83],2.324e-134,***,Average Diameter for HDL Particles
L-HDL-P,0.82 [0.80-0.83],5.516e-127,***,Concentration of Large HDL Particles
XL-HDL-PL,0.82 [0.80-0.83],2.577e-133,***,Phospholipids in Very Large HDL
XL-HDL-L,0.82 [0.80-0.83],1.508e-136,***,Total-Lipids in Very Large HDL
S-VLDL-PL%,0.81 [0.80-0.82],2.359e-236,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.81 [0.80-0.82],6.426e-283,***,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.81 [0.80-0.82],3.354e-283,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-FC%,0.81 [0.80-0.82],1.864e-263,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-C,0.80 [0.79-0.82],9.893e-157,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.80 [0.79-0.82],2.034e-154,***,Cholesteryl Esters in Very Large HDL
L-HDL-C,0.80 [0.79-0.81],4.428e-162,***,Cholesterol in Large HDL
L-HDL-CE,0.80 [0.78-0.81],5.644e-169,***,Cholesteryl Esters in Large HDL
LA%,0.80 [0.79-0.81],1.698e-289,***,Linoleic Acid to Total-Fatty Acids percentage
IDL-C%,0.79 [0.79-0.80],0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.78 [0.77-0.79],0.000e+00,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.76 [0.75-0.77],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.76 [0.75-0.77],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
