Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-C%,0.86 [0.82-0.91],0.005,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-PL,0.86 [0.81-0.91],0.024,*,Phospholipids in Large HDL
XL-VLDL-CE%,0.86 [0.82-0.90],4.970e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-C%,0.86 [0.82-0.90],1.246e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.85 [0.81-0.90],0.013,*,Total-Lipids in Very Large HDL
M-VLDL-CE%,0.85 [0.81-0.90],1.357e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-FC%,0.85 [0.81-0.89],1.731e-05,***,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.85 [0.81-0.89],6.731e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-size,0.85 [0.80-0.90],0.004,**,Average Diameter for HDL Particles
S-HDL-CE%,0.85 [0.81-0.88],1.227e-07,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
HDL-C,0.84 [0.80-0.89],5.408e-04,***,HDL Cholesterol
L-HDL-FC,0.84 [0.79-0.89],0.001,**,Free Cholesterol in Large HDL
S-VLDL-PL%,0.84 [0.80-0.88],4.799e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.84 [0.80-0.88],3.060e-07,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-L,0.84 [0.79-0.89],4.494e-04,***,Total-Lipids in Large HDL
L-HDL-P,0.84 [0.79-0.89],6.941e-04,***,Concentration of Large HDL Particles
HDL-CE,0.84 [0.79-0.88],4.578e-05,***,Cholesteryl Esters in HDL
LA%,0.83 [0.79-0.88],7.608e-07,***,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-FC%,0.83 [0.79-0.88],5.967e-06,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.83 [0.79-0.87],1.476e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-C,0.83 [0.78-0.88],2.665e-05,***,Cholesterol in Very Large HDL
S-HDL-C%,0.83 [0.79-0.87],4.779e-10,***,Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-FC%,0.82 [0.79-0.86],1.487e-13,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-C%,0.82 [0.78-0.86],5.143e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE,0.82 [0.77-0.87],5.847e-06,***,Cholesteryl Esters in Very Large HDL
IDL-CE%,0.82 [0.78-0.86],5.859e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-6%,0.82 [0.78-0.86],1.399e-10,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.82 [0.78-0.86],4.293e-10,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Citrate,0.81 [0.77-0.86],9.077e-09,***,Citrate
L-HDL-C,0.81 [0.77-0.86],4.420e-07,***,Cholesterol in Large HDL
XS-VLDL-C%,0.81 [0.77-0.85],3.089e-12,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-CE,0.81 [0.76-0.85],8.344e-08,***,Cholesteryl Esters in Large HDL
M-LDL-FC%,0.81 [0.77-0.84],1.444e-14,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-CE%,0.80 [0.77-0.84],2.392e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,0.80 [0.76-0.84],2.915e-15,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-CE%,0.80 [0.76-0.84],3.874e-16,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
IDL-C%,0.80 [0.76-0.84],5.850e-17,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.80 [0.76-0.84],2.516e-16,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,0.80 [0.76-0.84],5.393e-15,***,Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.80 [0.75-0.84],4.028e-12,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-C%,0.78 [0.75-0.82],1.446e-18,***,Cholesterol to Total-Lipids in Medium HDL percentage
