Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
VLDL-FC,0.78 [0.74-0.83],3.570e-11,***,Free Cholesterol in VLDL
S-VLDL-CE,0.78 [0.74-0.83],3.464e-11,***,Cholesteryl Esters in Small VLDL
S-HDL-FC,0.78 [0.74-0.83],1.980e-11,***,Free Cholesterol in Small HDL
Phosphoglyc,0.77 [0.73-0.82],1.732e-13,***,Phosphoglycerides
S-VLDL-PL,0.76 [0.72-0.81],2.761e-14,***,Phospholipids in Small VLDL
S-VLDL-C,0.76 [0.72-0.81],7.262e-15,***,Cholesterol in Small VLDL
M-VLDL-L,0.76 [0.72-0.80],4.901e-16,***,Total-Lipids in Medium VLDL
VLDL-C,0.76 [0.72-0.80],4.642e-17,***,VLDL Cholesterol
XS-VLDL-C,0.75 [0.71-0.80],2.527e-16,***,Cholesterol in Very Small VLDL
PC,0.75 [0.71-0.80],1.262e-16,***,Phosphatidylcholines
XS-VLDL-C%,0.75 [0.71-0.79],1.607e-24,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-P,0.75 [0.71-0.80],1.395e-14,***,Total-Concentration of Lipoprotein Particles
S-VLDL-FC%,0.75 [0.71-0.79],1.512e-22,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Cholines,0.75 [0.71-0.79],2.117e-17,***,Total-Cholines
S-HDL-CE,0.75 [0.71-0.79],1.910e-17,***,Cholesteryl Esters in Small HDL
S-HDL-C,0.75 [0.71-0.79],1.384e-17,***,Cholesterol in Small HDL
S-VLDL-PL%,0.75 [0.71-0.79],8.199e-21,***,Phospholipids to Total-Lipids in Small VLDL percentage
PUFA,0.75 [0.71-0.79],4.610e-19,***,Polyunsaturated Fatty Acids
Omega-6,0.75 [0.70-0.79],2.774e-19,***,Omega-6 Fatty Acids
LA,0.75 [0.71-0.79],3.977e-20,***,Linoleic Acid
S-HDL-P,0.74 [0.70-0.79],1.462e-17,***,Concentration of Small HDL Particles
XS-VLDL-CE%,0.74 [0.71-0.78],6.897e-27,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
VLDL-CE,0.74 [0.70-0.79],1.433e-19,***,Cholesteryl Esters in VLDL
M-VLDL-P,0.74 [0.70-0.79],1.015e-17,***,Concentration of Medium VLDL Particles
SM,0.74 [0.70-0.78],6.208e-18,***,Sphingomyelins
M-VLDL-PL,0.74 [0.70-0.78],1.521e-19,***,Phospholipids in Medium VLDL
XS-VLDL-CE,0.73 [0.69-0.78],2.133e-19,***,Cholesteryl Esters in Very Small VLDL
M-LDL-C%,0.73 [0.70-0.77],1.439e-34,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-FC,0.73 [0.69-0.78],2.513e-20,***,Free Cholesterol in Small VLDL
IDL-C%,0.73 [0.70-0.76],1.097e-35,***,Cholesterol to Total-Lipids in IDL percentage
Total-PL,0.73 [0.69-0.77],6.858e-23,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-P,0.73 [0.69-0.77],1.723e-21,***,Concentration of Small LDL Particles
