Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-CE,0.65 [0.58-0.73],1.691e-07,***,Cholesteryl Esters in Small VLDL
M-VLDL-CE%,0.65 [0.61-0.69],3.930e-43,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-L,0.64 [0.57-0.72],7.659e-09,***,Total-Lipids in Very Small VLDL
L-HDL-C%,0.64 [0.59-0.69],2.807e-28,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-PL,0.64 [0.57-0.71],1.945e-09,***,Phospholipids in Medium VLDL
PC,0.63 [0.56-0.70],1.750e-11,***,Phosphatidylcholines
PUFA/MUFA,0.63 [0.56-0.70],1.826e-11,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-P,0.63 [0.55-0.71],3.454e-08,***,Concentration of HDL Particles
XS-VLDL-P,0.62 [0.55-0.70],1.937e-09,***,Concentration of Very Small VLDL Particles
Total-L,0.62 [0.56-0.69],1.630e-15,***,Total-Lipids in Lipoprotein Particles
L-HDL-PL,0.62 [0.53-0.73],5.432e-04,***,Phospholipids in Large HDL
S-VLDL-C,0.62 [0.55-0.69],1.816e-10,***,Cholesterol in Small VLDL
PUFA,0.61 [0.55-0.68],2.954e-14,***,Polyunsaturated Fatty Acids
XXL-VLDL-C%,0.61 [0.53-0.70],1.741e-07,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,0.60 [0.53-0.67],2.493e-13,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC,0.60 [0.53-0.67],9.651e-12,***,Free Cholesterol in Very Small VLDL
Cholines,0.59 [0.53-0.66],4.405e-16,***,Total-Cholines
M-HDL-FC%,0.59 [0.54-0.65],6.316e-22,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-PL,0.59 [0.53-0.65],5.978e-18,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-P,0.59 [0.52-0.66],1.847e-13,***,Concentration of Small LDL Particles
Omega-6,0.58 [0.53-0.65],4.539e-18,***,Omega-6 Fatty Acids
VLDL-CE,0.58 [0.52-0.65],1.333e-15,***,Cholesteryl Esters in VLDL
S-VLDL-CE%,0.58 [0.53-0.64],2.610e-28,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LA,0.58 [0.52-0.64],3.879e-20,***,Linoleic Acid
M-VLDL-FC,0.58 [0.51-0.65],3.524e-14,***,Free Cholesterol in Medium VLDL
S-LDL-PL,0.58 [0.52-0.65],2.464e-16,***,Phospholipids in Small LDL
M-VLDL-C%,0.58 [0.54-0.62],2.231e-43,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Total-P,0.58 [0.51-0.65],1.691e-13,***,Total-Concentration of Lipoprotein Particles
M-LDL-CE,0.58 [0.52-0.64],1.198e-16,***,Cholesteryl Esters in Medium LDL
M-LDL-C%,0.57 [0.53-0.62],1.007e-40,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-L,0.57 [0.51-0.64],1.611e-17,***,Total-Lipids in Small LDL
M-LDL-L,0.57 [0.51-0.63],6.741e-19,***,Total-Lipids in Medium LDL
S-VLDL-FC,0.57 [0.50-0.64],5.219e-15,***,Free Cholesterol in Small VLDL
M-LDL-P,0.56 [0.50-0.63],1.176e-15,***,Concentration of Medium LDL Particles
S-LDL-CE,0.56 [0.50-0.63],1.922e-17,***,Cholesteryl Esters in Small LDL
XL-HDL-PL,0.56 [0.47-0.66],6.126e-06,***,Phospholipids in Very Large HDL
LA%,0.56 [0.51-0.61],7.457e-28,***,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-C%,0.56 [0.50-0.62],3.531e-19,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-FC%,0.56 [0.51-0.60],1.053e-40,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-L,0.56 [0.48-0.65],8.915e-08,***,Total-Lipids in Large HDL
M-VLDL-FC%,0.56 [0.51-0.60],1.398e-40,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-PL,0.55 [0.49-0.62],5.470e-19,***,Phospholipids in Medium LDL
IDL-C%,0.55 [0.51-0.59],1.387e-46,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-PL%,0.55 [0.51-0.59],4.111e-44,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.55 [0.51-0.59],1.129e-43,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C,0.55 [0.49-0.61],2.207e-21,***,Cholesterol in Medium LDL
HDL-CE,0.54 [0.47-0.62],7.943e-13,***,Cholesteryl Esters in HDL
HDL-FC,0.54 [0.47-0.63],3.361e-11,***,Free Cholesterol in HDL
HDL-C,0.54 [0.47-0.62],3.090e-13,***,HDL Cholesterol
L-VLDL-CE%,0.54 [0.48-0.60],1.360e-23,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
ApoB,0.54 [0.48-0.60],2.504e-23,***,Apolipoprotein B
S-VLDL-C%,0.54 [0.49-0.59],6.035e-38,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-C%,0.53 [0.49-0.58],2.398e-46,***,Cholesterol to Total-Lipids in Large LDL percentage
LDL-L,0.53 [0.48-0.59],1.408e-28,***,Total-Lipids in LDL
S-LDL-C,0.53 [0.47-0.60],8.910e-22,***,Cholesterol in Small LDL
XL-HDL-FC,0.53 [0.46-0.61],4.373e-12,***,Free Cholesterol in Very Large HDL
LDL-CE,0.53 [0.48-0.59],2.127e-27,***,Cholesteryl Esters in LDL
Remnant-C,0.53 [0.47-0.58],1.735e-28,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.52 [0.47-0.58],6.826e-32,***,Total-Cholesterol Minus HDL-C
S-LDL-C%,0.52 [0.48-0.57],6.654e-48,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-P,0.52 [0.46-0.58],2.750e-21,***,Concentration of LDL Particles
XL-VLDL-FC%,0.51 [0.45-0.58],4.795e-19,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-C,0.51 [0.46-0.57],1.190e-31,***,LDL Cholesterol
XS-VLDL-C%,0.51 [0.47-0.55],2.073e-53,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.50 [0.46-0.55],2.280e-58,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.50 [0.46-0.55],2.422e-45,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-L,0.50 [0.42-0.59],3.176e-10,***,Total-Lipids in Very Large HDL
L-LDL-L,0.50 [0.45-0.56],3.494e-33,***,Total-Lipids in Large LDL
LDL-PL,0.50 [0.45-0.56],3.480e-29,***,Phospholipids in LDL
Total-FC,0.50 [0.45-0.55],2.737e-32,***,Total-Free Cholesterol
Total-C,0.50 [0.45-0.55],3.769e-38,***,Total-Cholesterol
Clinical LDL-C,0.50 [0.45-0.55],7.717e-39,***,Clinical LDL Cholesterol
L-LDL-CE,0.49 [0.44-0.55],1.495e-31,***,Cholesteryl Esters in Large LDL
L-HDL-P,0.49 [0.41-0.59],1.779e-08,***,Concentration of Large HDL Particles
S-LDL-FC,0.49 [0.44-0.55],1.702e-28,***,Free Cholesterol in Small LDL
L-LDL-P,0.49 [0.43-0.56],1.239e-23,***,Concentration of Large LDL Particles
L-HDL-FC,0.49 [0.41-0.59],2.105e-09,***,Free Cholesterol in Large HDL
Total-CE,0.49 [0.44-0.54],1.746e-39,***,Total-Esterified Cholesterol
XS-VLDL-C,0.49 [0.43-0.55],1.222e-25,***,Cholesterol in Very Small VLDL
XL-VLDL-CE%,0.48 [0.43-0.55],9.389e-28,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-C,0.48 [0.43-0.54],1.647e-35,***,Cholesterol in Large LDL
L-HDL-C,0.48 [0.40-0.57],2.194e-11,***,Cholesterol in Large HDL
M-VLDL-C,0.48 [0.42-0.54],3.626e-28,***,Cholesterol in Medium VLDL
SM,0.48 [0.42-0.53],1.859e-30,***,Sphingomyelins
L-HDL-CE,0.47 [0.40-0.57],3.628e-11,***,Cholesteryl Esters in Large HDL
S-VLDL-PL%,0.47 [0.42-0.52],6.359e-44,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-FC,0.47 [0.41-0.52],3.590e-31,***,Free Cholesterol in Medium LDL
XL-HDL-P,0.47 [0.39-0.56],3.931e-12,***,Concentration of Very Large HDL Particles
L-LDL-PL,0.46 [0.41-0.51],2.288e-35,***,Phospholipids in Large LDL
IDL-L,0.46 [0.41-0.51],9.739e-41,***,Total-Lipids in IDL
XL-VLDL-C%,0.46 [0.40-0.52],3.852e-26,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-P,0.46 [0.40-0.52],1.762e-29,***,Concentration of IDL Particles
XS-VLDL-CE,0.45 [0.40-0.51],2.801e-31,***,Cholesteryl Esters in Very Small VLDL
LDL-FC,0.44 [0.40-0.50],8.817e-39,***,Free Cholesterol in LDL
IDL-PL,0.44 [0.39-0.49],1.674e-36,***,Phospholipids in IDL
XL-HDL-C,0.43 [0.36-0.51],3.183e-16,***,Cholesterol in Very Large HDL
IDL-C,0.43 [0.38-0.48],1.075e-45,***,Cholesterol in IDL
IDL-CE,0.42 [0.38-0.47],1.725e-45,***,Cholesteryl Esters in IDL
M-VLDL-CE,0.42 [0.37-0.48],9.870e-37,***,Cholesteryl Esters in Medium VLDL
L-LDL-FC,0.42 [0.37-0.47],9.825e-42,***,Free Cholesterol in Large LDL
IDL-FC,0.41 [0.37-0.47],1.168e-40,***,Free Cholesterol in IDL
XL-HDL-CE,0.41 [0.34-0.49],2.661e-16,***,Cholesteryl Esters in Very Large HDL
