Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-FC%,0.94 [0.92-0.95],5.257e-08,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-L,0.94 [0.92-0.95],8.723e-06,***,Total-Lipids in Very Large HDL
Total-C,0.93 [0.92-0.95],1.010e-09,***,Total-Cholesterol
M-VLDL-CE,0.93 [0.92-0.95],1.798e-10,***,Cholesteryl Esters in Medium VLDL
S-LDL-FC,0.93 [0.92-0.95],8.051e-11,***,Free Cholesterol in Small LDL
XL-HDL-P,0.93 [0.92-0.95],1.859e-06,***,Concentration of Very Large HDL Particles
IDL-L,0.93 [0.92-0.95],1.573e-10,***,Total-Lipids in IDL
Clinical LDL-C,0.93 [0.92-0.95],2.153e-11,***,Clinical LDL Cholesterol
Total-CE,0.93 [0.92-0.95],1.919e-10,***,Total-Esterified Cholesterol
XL-HDL-FC,0.93 [0.92-0.95],4.357e-08,***,Free Cholesterol in Very Large HDL
L-HDL-C,0.93 [0.91-0.95],8.649e-07,***,Cholesterol in Large HDL
XS-VLDL-FC%,0.93 [0.92-0.95],3.305e-13,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-FC%,0.93 [0.92-0.95],3.426e-13,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-CE,0.93 [0.91-0.95],3.232e-07,***,Cholesteryl Esters in Large HDL
Unsaturation,0.93 [0.91-0.95],1.012e-10,***,Degree of Unsaturation
S-HDL-C%,0.93 [0.91-0.94],1.040e-12,***,Cholesterol to Total-Lipids in Small HDL percentage
LDL-FC,0.93 [0.91-0.94],6.253e-13,***,Free Cholesterol in LDL
Omega-6%,0.93 [0.91-0.94],2.093e-12,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.93 [0.91-0.94],2.763e-11,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-PL%,0.93 [0.91-0.94],1.070e-13,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.93 [0.91-0.94],2.507e-11,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-FC,0.93 [0.91-0.94],9.313e-14,***,Free Cholesterol in Large LDL
M-HDL-C%,0.93 [0.91-0.94],6.187e-13,***,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-CE,0.93 [0.91-0.94],3.945e-14,***,Cholesteryl Esters in IDL
M-HDL-FC%,0.93 [0.91-0.94],1.099e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.92 [0.91-0.94],1.331e-14,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C,0.92 [0.91-0.94],3.356e-15,***,Cholesterol in IDL
XL-HDL-C,0.92 [0.91-0.94],5.430e-10,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.92 [0.90-0.94],6.655e-10,***,Cholesteryl Esters in Very Large HDL
PUFA%,0.92 [0.91-0.94],1.245e-14,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-C%,0.92 [0.91-0.94],1.106e-16,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-CE%,0.92 [0.91-0.94],8.572e-17,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-FC,0.92 [0.91-0.94],5.077e-16,***,Free Cholesterol in IDL
IDL-FC%,0.92 [0.91-0.93],1.254e-18,***,Free Cholesterol to Total-Lipids in IDL percentage
M-VLDL-FC%,0.92 [0.90-0.94],1.173e-17,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.92 [0.90-0.93],5.662e-18,***,Cholesterol to Total-Lipids in Small LDL percentage
PUFA/MUFA,0.92 [0.90-0.93],2.994e-15,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,0.92 [0.90-0.93],1.373e-20,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-C%,0.92 [0.90-0.93],3.255e-19,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-C%,0.92 [0.90-0.93],1.533e-20,***,Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.91 [0.90-0.93],1.008e-22,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.91 [0.90-0.93],2.495e-22,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.91 [0.90-0.92],7.478e-26,***,Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.91 [0.89-0.92],2.822e-22,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-FC%,0.91 [0.89-0.92],6.938e-25,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.91 [0.89-0.92],1.332e-24,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.90 [0.89-0.92],1.414e-29,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.90 [0.88-0.91],1.014e-30,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,0.90 [0.89-0.91],1.414e-33,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.90 [0.88-0.91],2.675e-31,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
