Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,0.76 [0.71-0.81],3.252e-10,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
HDL-PL,0.76 [0.71-0.81],1.569e-08,***,Phospholipids in HDL
L-HDL-FC%,0.75 [0.72-0.79],1.383e-24,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-P,0.75 [0.69-0.82],3.230e-05,***,Concentration of Very Large HDL Particles
M-VLDL-CE%,0.75 [0.72-0.79],3.737e-31,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.75 [0.70-0.81],4.903e-10,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.75 [0.71-0.79],1.975e-18,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
VLDL-L,0.75 [0.70-0.80],4.495e-14,***,Total-Lipids in VLDL
S-HDL-PL,0.75 [0.70-0.80],2.081e-13,***,Phospholipids in Small HDL
L-VLDL-C,0.74 [0.69-0.79],4.926e-13,***,Cholesterol in Large VLDL
SFA,0.74 [0.69-0.79],6.835e-16,***,Saturated Fatty Acids
XL-VLDL-C,0.74 [0.69-0.79],5.068e-13,***,Cholesterol in Very Large VLDL
LA%,0.74 [0.69-0.78],1.399e-18,***,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-FC,0.73 [0.68-0.79],1.440e-10,***,Free Cholesterol in Medium HDL
S-VLDL-L,0.73 [0.69-0.78],5.439e-15,***,Total-Lipids in Small VLDL
HDL-L,0.73 [0.68-0.79],7.952e-12,***,Total-Lipids in HDL
S-HDL-L,0.73 [0.68-0.77],4.726e-17,***,Total-Lipids in Small HDL
ApoB/ApoA1,0.72 [0.68-0.77],2.415e-17,***,Apolipoprotein B to Apolipoprotein A1 ratio
ApoA1,0.72 [0.67-0.78],1.359e-13,***,Apolipoprotein A1
XS-VLDL-PL,0.72 [0.67-0.77],3.249e-16,***,Phospholipids in Very Small VLDL
HDL-CE,0.72 [0.67-0.78],7.747e-12,***,Cholesteryl Esters in HDL
M-VLDL-C%,0.72 [0.68-0.76],6.570e-32,***,Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-PL,0.72 [0.67-0.77],4.231e-18,***,Phospholipids in VLDL
L-LDL-FC%,0.71 [0.67-0.75],3.279e-32,***,Free Cholesterol to Total-Lipids in Large LDL percentage
HDL-C,0.71 [0.65-0.76],1.464e-13,***,HDL Cholesterol
Total-FA,0.71 [0.66-0.75],6.752e-23,***,Total-Fatty Acids
S-VLDL-C%,0.70 [0.66-0.74],4.891e-31,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,0.70 [0.66-0.74],1.697e-33,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-CE,0.70 [0.65-0.74],1.082e-21,***,Cholesteryl Esters in Small HDL
L-VLDL-CE,0.70 [0.65-0.75],7.030e-20,***,Cholesteryl Esters in Large VLDL
VLDL-P,0.69 [0.65-0.74],4.260e-21,***,Concentration of VLDL Particles
S-HDL-FC,0.69 [0.65-0.74],2.866e-22,***,Free Cholesterol in Small HDL
XL-VLDL-CE,0.69 [0.64-0.74],5.534e-21,***,Cholesteryl Esters in Very Large VLDL
S-HDL-C,0.69 [0.64-0.73],5.319e-24,***,Cholesterol in Small HDL
M-VLDL-PL%,0.68 [0.65-0.72],1.572e-40,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-HDL-FC%,0.68 [0.64-0.73],1.273e-28,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-FC,0.68 [0.63-0.74],1.417e-15,***,Free Cholesterol in HDL
VLDL-FC,0.68 [0.64-0.72],3.150e-25,***,Free Cholesterol in VLDL
XS-VLDL-L,0.68 [0.63-0.72],2.965e-25,***,Total-Lipids in Very Small VLDL
M-LDL-CE%,0.68 [0.64-0.72],4.476e-32,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-P,0.68 [0.63-0.72],1.231e-25,***,Concentration of Small HDL Particles
S-VLDL-CE,0.67 [0.63-0.72],5.095e-25,***,Cholesteryl Esters in Small VLDL
HDL-P,0.67 [0.63-0.72],4.256e-22,***,Concentration of HDL Particles
XS-VLDL-P,0.67 [0.63-0.72],2.377e-25,***,Concentration of Very Small VLDL Particles
XS-VLDL-FC,0.66 [0.62-0.71],2.956e-27,***,Free Cholesterol in Very Small VLDL
S-VLDL-PL,0.66 [0.61-0.70],5.137e-29,***,Phospholipids in Small VLDL
M-VLDL-L,0.66 [0.62-0.70],4.927e-32,***,Total-Lipids in Medium VLDL
S-LDL-CE%,0.65 [0.62-0.69],7.883e-40,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-FC%,0.65 [0.62-0.69],1.728e-45,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-C,0.65 [0.61-0.69],7.606e-31,***,Cholesterol in Small VLDL
Phosphoglyc,0.64 [0.60-0.68],1.786e-37,***,Phosphoglycerides
S-VLDL-PL%,0.64 [0.60-0.68],1.403e-42,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.64 [0.61-0.67],6.695e-58,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-C,0.64 [0.60-0.68],6.240e-38,***,VLDL Cholesterol
IDL-C%,0.64 [0.61-0.67],7.173e-67,***,Cholesterol to Total-Lipids in IDL percentage
S-LDL-PL,0.63 [0.59-0.67],2.362e-38,***,Phospholipids in Small LDL
XS-VLDL-CE%,0.63 [0.60-0.66],4.218e-64,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,0.63 [0.59-0.66],1.635e-63,***,Cholesterol to Total-Lipids in Large LDL percentage
PC,0.63 [0.59-0.67],1.170e-40,***,Phosphatidylcholines
M-LDL-C%,0.63 [0.60-0.66],4.282e-77,***,Cholesterol to Total-Lipids in Medium LDL percentage
Total-P,0.63 [0.58-0.67],2.117e-33,***,Total-Concentration of Lipoprotein Particles
M-VLDL-P,0.62 [0.58-0.66],2.477e-36,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.62 [0.58-0.66],2.496e-39,***,Phospholipids in Medium VLDL
S-VLDL-FC,0.61 [0.57-0.66],4.683e-39,***,Free Cholesterol in Small VLDL
IDL-CE%,0.61 [0.58-0.65],5.256e-75,***,Cholesteryl Esters to Total-Lipids in IDL percentage
VLDL-CE,0.61 [0.57-0.65],9.823e-44,***,Cholesteryl Esters in VLDL
Cholines,0.61 [0.58-0.65],3.345e-46,***,Total-Cholines
Total-L,0.61 [0.57-0.65],5.466e-56,***,Total-Lipids in Lipoprotein Particles
S-LDL-P,0.61 [0.57-0.65],1.604e-41,***,Concentration of Small LDL Particles
S-LDL-L,0.60 [0.57-0.64],7.471e-47,***,Total-Lipids in Small LDL
S-LDL-FC,0.60 [0.57-0.64],2.039e-47,***,Free Cholesterol in Small LDL
LA,0.60 [0.57-0.64],2.063e-54,***,Linoleic Acid
Total-PL,0.60 [0.56-0.64],1.464e-53,***,Total-Phospholipids in Lipoprotein Particles
PUFA,0.60 [0.56-0.64],1.228e-52,***,Polyunsaturated Fatty Acids
M-VLDL-FC,0.60 [0.56-0.64],1.383e-43,***,Free Cholesterol in Medium VLDL
S-LDL-C%,0.60 [0.57-0.63],1.123e-79,***,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-P,0.60 [0.56-0.64],2.115e-43,***,Concentration of Large LDL Particles
XS-VLDL-C,0.60 [0.56-0.64],9.666e-45,***,Cholesterol in Very Small VLDL
M-LDL-L,0.59 [0.56-0.63],6.802e-53,***,Total-Lipids in Medium LDL
ApoB,0.59 [0.56-0.63],5.545e-53,***,Apolipoprotein B
M-LDL-PL,0.59 [0.56-0.63],1.739e-48,***,Phospholipids in Medium LDL
Omega-6,0.59 [0.56-0.63],7.420e-56,***,Omega-6 Fatty Acids
SM,0.59 [0.55-0.63],2.522e-48,***,Sphingomyelins
LDL-L,0.59 [0.55-0.62],5.503e-63,***,Total-Lipids in LDL
LDL-P,0.59 [0.55-0.63],1.094e-46,***,Concentration of LDL Particles
M-LDL-CE,0.58 [0.55-0.62],5.661e-53,***,Cholesteryl Esters in Medium LDL
S-LDL-CE,0.58 [0.55-0.62],1.898e-50,***,Cholesteryl Esters in Small LDL
S-LDL-C,0.58 [0.54-0.62],4.863e-53,***,Cholesterol in Small LDL
M-LDL-P,0.58 [0.54-0.62],8.522e-48,***,Concentration of Medium LDL Particles
M-LDL-C,0.58 [0.54-0.62],7.406e-57,***,Cholesterol in Medium LDL
LDL-CE,0.58 [0.54-0.62],5.458e-63,***,Cholesteryl Esters in LDL
Non-HDL-C,0.58 [0.54-0.61],1.839e-70,***,Total-Cholesterol Minus HDL-C
LDL-C,0.58 [0.54-0.61],1.544e-66,***,LDL Cholesterol
L-LDL-L,0.58 [0.54-0.61],6.607e-65,***,Total-Lipids in Large LDL
Clinical LDL-C,0.57 [0.54-0.61],4.554e-73,***,Clinical LDL Cholesterol
Remnant-C,0.57 [0.54-0.61],6.237e-66,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-CE,0.57 [0.54-0.61],7.555e-51,***,Cholesteryl Esters in Very Small VLDL
LDL-PL,0.57 [0.54-0.61],2.512e-60,***,Phospholipids in LDL
L-LDL-CE,0.57 [0.53-0.61],9.313e-63,***,Cholesteryl Esters in Large LDL
M-VLDL-C,0.57 [0.53-0.61],5.734e-55,***,Cholesterol in Medium VLDL
M-LDL-FC,0.57 [0.53-0.61],3.195e-56,***,Free Cholesterol in Medium LDL
L-LDL-C,0.57 [0.53-0.60],8.469e-67,***,Cholesterol in Large LDL
Total-C,0.56 [0.53-0.60],3.600e-76,***,Total-Cholesterol
M-VLDL-CE,0.56 [0.53-0.60],8.897e-57,***,Cholesteryl Esters in Medium VLDL
Total-FC,0.56 [0.53-0.60],2.864e-69,***,Total-Free Cholesterol
Total-CE,0.56 [0.53-0.59],2.831e-76,***,Total-Esterified Cholesterol
IDL-P,0.56 [0.52-0.60],1.161e-55,***,Concentration of IDL Particles
IDL-PL,0.56 [0.52-0.60],9.541e-60,***,Phospholipids in IDL
LDL-FC,0.56 [0.52-0.59],5.481e-65,***,Free Cholesterol in LDL
IDL-L,0.56 [0.52-0.59],3.359e-71,***,Total-Lipids in IDL
L-LDL-PL,0.55 [0.52-0.59],8.239e-66,***,Phospholipids in Large LDL
IDL-FC,0.55 [0.51-0.59],4.871e-63,***,Free Cholesterol in IDL
L-LDL-FC,0.54 [0.51-0.58],1.259e-67,***,Free Cholesterol in Large LDL
IDL-C,0.54 [0.51-0.57],1.179e-76,***,Cholesterol in IDL
IDL-CE,0.53 [0.50-0.57],7.679e-78,***,Cholesteryl Esters in IDL
